2771 12880
306.736 4.56904 1
148.031 6.1461 1
248.136 9.23466 1
281.316 18.0211 1
315.143 24.8279 2
118.126 25.7649 1
108.861 28.8394 4
324.726 33.7261 2
300.404 36.5806 5
316.266 37.8066 1
103.589 40.0922 5
143.811 42.1969 12
261.749 43.5519 1
307.079 48.5938 1
203.001 52.0419 12
217.494 52.9219 4
224.961 53.3282 8
316.129 52.9379 1
186.821 53.1681 6
234.547 54.3125 6
198.141 54.7578 1
91.6461 68.4532 15
306.709 71.12 7
10.0237 71.2804 1
249.116 66.3296 18
285.096 78.4254 5
185.604 77.8558 1
269.076 81.9883 7
16.7403 82.0447 1
150.918 85.2495 8
185.404 83.575 1
250.698 83.8445 14
304.008 89.4911 4
183.534 90.3031 22
161.404 94.3788 1
166.199 92.6905 13
303.069 98.3893 3
29.8379 99.5478 1
91.6816 96.0721 28
106.956 97.7121 6
50.7412 100.814 1
283.924 101.911 13
67.7346 101.445 30
230.232 97.3863 10
271.469 103.289 15
67.6208 112.714 5
301.583 112.907 2
321.115 112.17 3
38.5472 117.414 1
243.411 114.443 26
166.955 119.884 9
153.685 119.795 8
67.903 121.217 21
173.881 123.774 1
19.3427 128.299 6
29.8467 129.148 6
297.833 131.994 10
14.6158 132.341 1
147.107 128.553 19
63.3959 131.952 11
224.336 132.045 9
182.271 135.964 25
331.76 133.753 1
102.848 137.168 7
171.572 139.078 12
245.832 138.859 15
145.529 139.109 3
184.011 139.637 2
245.532 145.926 3
270.159 145.707 2
227.375 145.693 12
44.6687 151.07 9
146.51 150.06 8
183.643 150.833 9
325.015 154.099 4
15.8987 152.035 1
244.686 153.105 26
176.046 152.848 35
106.459 154.967 2
296.559 153.894 24
7.32974 157.192 1
89.9026 156.891 1
148.328 153.955 35
209.651 155.196 14
267.484 157.115 3
95.6257 157.6 2
141.795 154.093 18
191.946 158.197 7
200.162 158.121 10
102.431 158.547 1
226.145 159.297 17
230.616 158.229 6
134.251 160.824 18
246.578 159.348 11
132.993 162.722 10
102.931 164.583 21
127.309 166.908 2
175.213 168.259 31
57.7461 171.271 2
63.4738 170.4 3
117.109 170.196 21
154.601 172.367 7
32.3836 170.379 8
104.467 169.126 11
169.336 171.585 1
88.4027 171.462 8
6.81057 174.282 1
254.324 173.902 13
13.0277 174.992 1
209.757 174.836 3
