4483 21149
22.6118 4.56999 1
257.472 7.43046 1
494.81 8.27115 1
27.9821 8.86574 1
221.749 8.86049 1
92.4165 9.69922 1
403.314 11.3821 3
293.092 11.179 1
100.166 11.7628 1
113.734 12.5843 1
122.344 12.6405 1
31.5258 16.4526 1
66.7768 17.9639 1
68.0241 26.0436 3
163.317 29.9395 3
192.568 30.9276 4
235.654 32.4324 4
290.604 31.85 4
286.443 33.4352 1
119.684 33.7494 3
221.747 35.1392 7
264.434 35.2551 8
253.985 36.7968 4
279.214 55.9758 3
236.477 64.7607 10
47.9081 67.482 2
269.734 69.1474 17
28.8408 71.5606 1
20.598 73.2024 2
76.4883 72.2974 4
10.141 75.6694 1
243.888 75.7791 9
230.642 83.9027 9
230.329 87.8272 2
274.558 90.6149 22
94.7437 95.0388 2
288.094 95.9353 7
98.2168 100.799 2
226.505 102.153 18
299.914 99.8061 51
90.6119 108.906 12
272.57 110.764 4
281.578 118.231 5
216.475 121.387 46
102.833 123.178 7
16.9675 130.413 1
160.886 132.917 35
12.5758 133.243 2
8.95764 135.679 1
167.318 138.63 2
179.854 136.59 43
7.5169 150.459 1
101.272 147.849 28
176.259 149.524 7
89.6803 151.269 5
298.644 154.625 9
115.27 152.097 31
80.1222 155.159 6
311.205 155.267 10
4.96412 157.617 1
135.607 159.17 22
64.8842 161.294 1
54.2259 164.221 14
150.03 163.603 34
41.9679 167.139 8
290.153 163.392 18
182.649 166.656 15
33.3185 171.16 8
26.2381 171.218 4
168.572 171.49 38
141.874 178.785 4
126.328 183.607 4
117.912 186.695 9
454.126 186.046 7
441.087 187.354 6
107.72 191.207 2
40.2968 192.001 3
427.896 191.793 3
453.314 192.741 19
44.9848 194.002 5
194.893 195.974 10
421.317 196.133 34
311.359 195.091 12
50.9454 197.184 1
91.0302 197.576 1
54.1149 198.735 1
60.6171 201.179 11
423.363 200.738 1
78.6493 201.44 15
27.3615 202.854 5
198.74 203.36 24
371.668 209.395 23
109.742 211.147 15
347.548 212.401 55
444.962 212.721 12
33.1905 213.399 4
428.131 218.563 6
409.566 221.585 23
156.397 226.456 3
407.856 230.079 2
159.521 230.747 1
43.5287 231.641 7
354.98 234.254 31
395.18 231.579 31
521.937 235.932 3
380.375 234.761 20
44.6705 237.833 3
369.542 235.483 31
344.691 237.886 16
164.238 245.709 22
496.363 246.626 4
537.259 244.404 11
50.5038 247.281 9
442.995 248.551 28
493.757 250.865 13
330.578 250.094 18
420.325 252.782 30
492.493 253.666 1
58.7866 259.817 4
414.005 254.973 21
60.5133 262.292 2
63.8028 270.403 12
429.707 271.252 8
509.457 272.681 10
454.623 272.291 11
462.455 273.705 22
519.469 273.406 20
377.889 275.025 1
445.88 273.767 25
534.726 275.06 7
544.465 274.541 8
556.19 272.977 16
73.9529 281.25 5
77.7686 280.44 9
233.032 280.453 14
388.161 290.353 1
600.099 291.253 47
610.874 299.193 11
385.157 297.628 7
286.856 304.183 2
566.06 304.398 4
21.7792 322.444 1
231.581 330.375 12
608.449 332.536 5
259.209 331.908 10
342.779 339.678 16
306.67 342.187 6
221.364 347.926 3
694.665 349.863 2
256.779 350.041 25
440.574 353.937 16
241.029 354.914 29
247.129 356.146 8
446.288 365.801 15
432.905 366.797 9
446.02 367.54 13
518.942 371.809 7
449.917 377.192 1
213.449 376.467 16
417.555 381.886 5
440.739 385.497 19
238.49 387.823 5
536.671 388.061 26
252.854 391.236 24
254.009 392.193 9
349.618 394.684 14
424.502 395.643 17
358.242 394.479 4
370.662 394.13 10
398.391 395.664 6
309.91 396.307 31
452.653 398.823 38
528.307 395.874 16
210.532 397.36 32
422.669 401.769 2
6.60728 401.97 1
284.959 403.675 49
533.692 410.376 54
230.035 402.111 31
443.505 402.942 24
