3095 14745
52.7558 6.56718 1
331.824 8.57288 1
19.7755 8.97863 1
519.831 8.61677 1
282.994 11.7348 1
69.8236 14.2932 1
329.079 13.6828 1
529.161 16.1256 1
42.9944 17.3696 1
259.831 21.1022 3
297.229 19.4508 1
84.4113 21.9456 3
281.425 23.3383 2
259.637 24.5402 1
537.741 23.7745 3
295.833 26.9605 4
310.647 31.2412 3
257.208 34.527 6
192.246 36.5874 4
344.265 39.1431 2
187.73 40.4622 10
308.243 40.1813 2
367.175 40.8279 16
266.145 40.4532 6
185.002 44.8628 2
551.88 44.9402 1
315.012 46.2971 7
307.01 48.4093 15
556.239 49.3451 1
181.377 49.9234 3
252.741 49.9799 6
260.804 49.5974 3
213.088 51.1902 3
264.041 55.9257 18
212.455 59.3436 1
174.728 60.2038 9
569.071 64.4766 1
212.229 65.2852 2
271.675 64.8915 11
250.054 66.9764 1
288.484 67.4351 5
169.72 70.5064 7
575.836 73.1066 1
248.269 75.6986 4
163.76 82.3663 7
248.828 83.0378 1
207.728 93.6867 9
156.267 100.94 14
204.114 101.488 7
316.405 109.611 36
151.874 116.923 7
204.69 124.741 1
148.287 128.085 6
400.399 135.622 9
291.161 139.001 32
201.443 137.892 8
399.46 148.276 8
198.66 146.717 21
274.859 151.767 5
401.334 157.748 3
379.136 164.075 5
296.326 170.94 15
298.162 174.208 3
194.608 176.7 13
272.579 177.045 10
405.526 176.961 6
299.219 183.244 21
273.014 184.704 1
408.872 187.551 11
298.293 188.574 5
270.752 190.416 11
302.601 201.807 19
383.249 203.103 1
397.57 208.633 7
384.855 206.797 7
269.086 214.676 6
423.913 220.818 42
260.233 223.847 10
377.439 226.144 9
147.235 226.825 33
307.473 234.045 27
415.212 230.853 6
377.056 234.482 23
152.628 234.214 6
309.335 238.757 2
141.829 239.43 23
376.807 240.306 1
425.162 241.813 16
255.098 253.892 24
370.627 250.739 31
431.214 251.47 15
304.432 246.921 16
191.586 252.155 20
366.203 255.107 9
352.291 258.036 1
431.943 261.997 6
137.523 257.475 11
255.124 259.532 5
361.335 260.089 7
307.383 261.196 6
192.428 266.639 27
376.09 266.476 8
431.81 266.582 21
344.408 265.909 16
303.757 274.627 23
194.222 271.973 12
138.09 271.074 20
263.222 280.056 21
464.097 275.075 2
472.864 275.75 1
131.368 279.182 6
250.135 279.417 19
307.804 279.222 9
136.983 282.929 16
130.274 289.03 2
265.943 289.496 5
253.539 291.111 25
318.777 288.825 21
192.593 296.645 32
305.089 294.875 13
133.615 294.901 17
400.923 297.774 1
135.02 300.876 9
260.037 301.908 71
302.427 304.427 22
377.341 304.692 17
129.385 308.048 3
248.801 312.991 28
135.59 311.342 20
301.151 319.234 33
436.004 314.579 18
235.996 315.7 1
243.519 317.218 1
248.623 318.434 1
127.649 323.208 17
437.521 320.544 2
130.659 325.528 10
315.971 326.336 8
331.663 326.557 4
131.19 327.644 1
438.541 328.162 2
324.02 327.765 11
191.077 331.714 41
458.581 334.422 3
248.756 335.689 25
399.774 339.882 2
128.686 340.195 20
183.776 348.887 24
246.267 350.334 21
124.913 349.679 14
319.537 351.978 16
321.597 353.178 5
248.672 354.601 2
219.362 357.253 1
121.731 358.819 12
304.712 357.888 56
181.051 365.374 41
439.301 361.408 33
125.904 364.055 12
473.563 366.356 2
304.445 369.248 27
246.275 375.975 29
124.798 375.494 24
369.145 374.798 24
452.67 375.8 9
446.375 378.988 4
124.191 380.238 6
302.842 385.192 35
399.881 385.792 13
439.782 389.895 27
254.75 391.404 8
186.293 393.998 4
240.885 394.102 24
442.743 398.456 18
176.781 398.486 28
387.008 401.724 37
117.844 400.377 30
245.224 402.262 16
112.457 406.239 1
97.8173 406.824 2
105.571 405.596 3
234.326 410.504 6
442.869 412.912 7
298.998 417.05 34
377.047 416.156 1
194.419 418.523 6
109.017 423.323 21
300.774 421.18 6
459.028 423.248 4
110.383 425.023 3
108.97 430.028 1
454.933 429.605 1
380.976 432.333 18
445.356 431.177 22
338.526 433.46 7
182.81 437.48 10
445.584 436.913 9
106.447 444.985 20
363.111 436.739 21
206.752 439.417 9
170.683 440.431 24
300.724 440.617 30
246.207 444.986 13
178.531 450.454 6
444.867 453.865 24
106.757 451.861 10
237.919 456.884 1
247.134 457.399 24
248.277 461.725 1
448.456 460.745 18
520.095 462.974 1
292.79 463.298 9
300.056 463.525 19
101.243 464.563 13
515.667 466.113 6
104.627 473.149 1
505.265 474.904 11
388.529 477.102 20
238.028 478.767 20
500.32 477.586 4
100.95 483.799 13
298.824 477.656 46
392.67 481.154 2
465.432 481.303 6
468.875 482.585 2
476.909 482.918 16
102.736 487.271 7
240.639 488.707 10
489.92 487.646 24
390.086 493.93 7
162.15 494.685 10
17.2704 495.003 1
477.185 492.254 15
306.754 496.818 15
100.189 499.433 3
465.474 500.136 10
167.027 507.671 19
331.66 508.086 6
241.795 510.988 18
457.337 517.822 18
160.667 513.098 9
198.729 517.662 1
327.437 519.866 10
469.975 520.613 2
68.5024 519.357 17
94.662 520.402 27
459.474 522.488 12
246.169 525.032 2
314.049 523.453 5
369.857 520.595 7
176.988 526.839 20
307.58 526.211 16
167.331 529.175 6
243.934 531.919 2
389.819 531.263 9
458.226 532.411 2
430.429 535.968 1
458.466 539.34 4
238.181 540.04 19
222.717 541.606 4
90.0596 549.097 9
460.062 547.914 7
313.051 550.149 9
426.275 545.274 12
259.178 549.243 15
428.518 553.621 2
91.0279 555.276 2
241.515 556.346 16
89.3975 562.042 2
87.676 568.165 8
466.884 574.08 2
237.985 578.619 1
471.63 581.193 2
84.2806 584.718 1
408.176 588.893 2
83.2145 589.572 1
5.125 5.07567 1
25.8891 5.44057 1
269.421 4.65784 1
302.426 4.79291 1
337.91 5.11472 1
505.161 4.70634 1
316.921 6.02932 1
37.0094 10.7367 1
292.885 10.7046 1
306.807 10.9852 1
48.9383 14.5803 1
61.6576 16.7592 1
74.271 18.3563 2
26.4632 18.3554 2
286.16 18.5752 1
335.958 20.5562 1
526.965 22.1055 1
63.6999 25.8891 9
37.094 23.6247 1
274.027 23.8378 1
28.784 25.1164 1
89.5478 25.1487 1
291.513 24.9833 1
330.625 26.6069 4
306.175 27.9146 2
315.124 27.5728 1
4.93774 30.6658 3
220.825 32.1514 13
337.717 34.6681 11
393.762 35.2866 11
315.217 35.9277 7
550.53 35.3581 6
333.766 40.6705 9
297.276 41.3904 9
398.379 40.8718 1
219.93 43.5858 7
313.064 43.8282 2
321.122 44.8808 8
290.248 48.4097 7
364.066 48.0969 9
272.129 47.8892 6
346.128 48.338 10
186.876 52.3312 8
329.239 51.3147 6
258.479 55.3473 6
281.053 56.4126 19
568.72 54.4155 3
296.149 57.2371 17
312.284 58.0668 23
181.509 62.5971 16
263.39 63.0851 3
328.748 62.6844 6
296.366 67.9815 26
116.788 64.6231 5
278.764 66.0603 25
437.036 68.379 16
443.791 71.1954 2
287.26 72.841 4
309.234 73.0667 3
215.645 78.1042 2
254.587 79.784 7
345.215 98.2783 5
280.555 100.707 13
162.465 103.884 12
324.905 108.308 23
486.512 106.358 13
429.297 107.669 5
489.326 113.184 3
293.301 113.315 7
162.12 113.572 15
420.254 113.198 1
210.326 115.923 2
414.3 117.075 2
158.206 125.163 20
367.51 124.855 7
418.46 125.383 1
315.244 126.816 1
302.718 126.591 4
310.474 135.24 1
284.166 138.148 10
385.625 143.175 7
405.759 140.365 16
303.673 142.527 13
205.405 149.401 1
155.84 158.423 8
203.128 161.138 1
386.069 165.791 6
155.519 168.556 4
280.997 172.219 13
384.568 182.937 15
158.581 185.961 2
279.673 187.697 34
276.715 191.781 3
308.94 194.484 38
160.073 201.933 4
272.078 200.656 1
388.648 202.346 21
428.016 202.399 1
265.388 206.399 6
160.34 209.827 1
412.175 214.066 10
307.788 213.762 1
399.383 215.679 13
192.896 215.903 3
275.746 219.864 9
289.366 219.28 20
302.918 225.271 21
435.543 221.97 48
166.258 225.008 1
155.047 226.843 6
384.211 228.872 38
265.307 229.735 38
433.959 230.814 23
400.31 229.494 9
156.074 241.196 32
416.396 240.545 19
267.171 239.719 23
436.189 240.521 28
300.448 241.202 1
265.476 252.327 39
383.037 252.673 26
145.417 252.199 36
270.43 249.516 1
199.3 247.691 46
263.235 254.142 15
402.388 255.017 2
439.998 258.493 50
369.704 262.921 18
387.465 261.019 15
260.759 265.87 19
200.497 266.688 18
312.76 267.285 19
360.553 267.588 27
441.716 268.3 35
388.053 271.636 25
346.986 273.733 5
314.844 275.459 21
145.02 277.316 5
297.668 275.906 4
446.453 278.297 3
354.876 277.88 9
394.139 278.419 7
203.347 276.308 18
439.699 279.151 6
452.844 279.499 21
125.544 280.12 8
262.11 280.567 12
289.304 281.851 12
256.018 284.052 1
316.257 286.247 6
134.041 286.472 6
292.936 286.186 4
325.899 286.513 8
441.673 290.81 35
143.62 293.04 57
201.243 294.099 14
183.582 294.394 12
260.534 295.213 11
200.299 297.966 5
322.036 302.273 9
312.959 298.992 15
390.309 302.816 13
443.411 310.514 48
431.31 305.045 3
143.822 310.33 32
198.844 309.482 15
258.198 309.164 15
381.181 311.482 4
310.536 311.525 29
391.325 315.289 1
256.033 322.092 26
364.81 319.773 30
234.155 319.966 17
196.139 322.317 3
386.831 329.29 3
445.686 329.436 21
396.181 329.922 10
138.666 333.714 89
306.344 332.468 7
117.487 338.627 10
256.288 344.955 85
367.25 336.827 1
382.669 340.718 31
195.972 338.377 8
458.406 340.292 25
445.731 346.131 45
138.903 344.872 12
181.852 342.096 1
256.848 348.369 11
395.733 349.405 27
126.401 343.753 3
193.478 348.472 4
463.835 346.757 2
185.169 347.006 1
311.471 346.526 19
136.478 349.948 20
191.052 351.316 1
372.36 352.482 5
450.795 351.589 6
256.993 359.433 31
242.507 358.337 2
133.415 363.387 45
216.89 361.133 11
314.238 369.201 38
452.003 365.325 36
225.899 369.558 27
253.215 369.081 54
383.491 368.336 2
366.382 369.118 4
438.415 370.178 6
353.509 366.562 20
393.977 373.051 10
416.519 372.215 4
453.994 372.444 3
465.336 372.218 15
372.953 374.876 11
313.391 375.342 25
131.637 380.487 22
196.438 380.873 3
234.043 379.162 1
255.07 382.703 34
394.286 380.561 6
404.887 379.346 1
389.796 379.841 3
460.707 380.009 8
186.841 382.669 22
172.89 382.469 4
205.712 382.763 3
358.174 383.74 30
240.684 382.791 12
450.713 389.526 51
177.171 387.632 29
114.558 386.872 10
358.402 390.617 10
404.803 389.967 2
111.807 393.541 3
344.392 393.681 21
203.927 393.206 2
281.159 393.944 5
305.652 394.283 6
396.862 398.749 46
127.173 394.195 35
194.689 395.761 2
581.549 398.499 1
253.434 401.961 46
315.345 399.122 2
184.539 400.134 6
449.26 405.494 24
576.945 405.059 1
279.073 404.556 6
308.55 408.501 41
424.099 407.123 7
183.103 408.958 15
396.267 408.121 5
121.67 410.026 21
93.3062 410.427 17
385.623 410.305 2
107.667 411.602 12
240.495 413.137 13
431.112 413.089 1
307.77 416.614 9
233.769 416.176 12
566.61 417.037 3
99.6351 416.952 1
241.464 423.561 27
451.237 420.056 29
182.944 424.858 18
371.101 421.867 15
563.122 420.773 1
315.461 421.615 6
411.88 423.832 1
114.916 434.584 52
397.623 433.524 30
250.851 435.114 46
223.684 437.336 4
454.255 437.978 36
177.732 438.268 15
202.886 439.758 6
325.482 439.984 5
337.014 438.874 1
403.14 440.162 7
316.868 444.644 20
361.346 445.32 21
307.93 447.54 23
209.712 445.233 22
396.418 447.344 10
190.02 447.391 8
221.446 446.266 35
377.47 446.526 9
166.116 450.194 9
365.656 450.304 11
456.82 452.322 26
376.109 453.067 3
220.253 456.161 11
276.933 454.951 1
283.656 455.26 8
179.06 456.594 8
170.159 460.966 33
253.907 457.775 4
113.576 460.814 29
189.886 459.737 22
399.959 464.899 12
456.121 468.202 40
175.23 465.615 5
101.522 468.391 3
249.109 470.198 37
295.801 470.801 9
111.633 475.301 36
186.091 473.943 13
410.624 474.832 13
171.662 474.957 3
142.168 476.799 7
297.935 476.757 3
398.33 478.66 3
458.871 477.842 23
108.893 477.799 14
308.705 482.018 16
248.002 483.534 37
170.231 484.315 3
4.54095 484.554 1
110.918 486.229 26
460.963 486.219 1
477.269 489.01 5
454.274 492.677 6
148.02 492.862 11
399.734 490.275 46
247.202 494.299 2
270.817 496.813 11
484.717 496.639 9
15.0092 500.023 1
151.74 499.823 2
169.846 501.379 17
247.989 500.173 10
321.903 505.224 36
405.518 504.786 6
300.346 509.811 5
439.332 509.973 3
464.315 512.747 13
248.18 511.338 9
172.58 514.297 1
191.832 515.087 19
304.712 515.514 16
103.078 514.827 13
370.539 520.624 7
384.905 519.331 17
405.588 521.784 5
157.75 522.706 10
194.109 523.393 3
73.3177 528.833 16
90.5839 528.812 6
183.639 528.517 12
156.897 531.937 19
230.688 529.558 7
466.499 530.352 30
311.479 534.53 13
249.992 534.666 30
165.581 538.167 15
391.819 540.009 6
424.262 540.47 12
106.131 540.008 18
416.698 539.467 12
259.534 540.422 1
464.882 544.294 7
81.8409 544.093 1
348.445 550.593 3
337.328 551.077 2
467.444 552.808 10
263.237 555.494 3
321.853 553.754 4
311.881 556.032 1
246.768 560.968 1
393.592 562.568 6
343.268 566.361 5
471.509 567.511 13
308.495 569.975 1
92.3228 573.324 4
186.31 573.125 2
198.221 572.899 1
72.6148 573.569 4
219.708 576.676 1
224.497 582.251 2
382.936 581.915 1
235.934 583.075 1
250.262 582.813 1
314.47 583.251 1
396.568 584.413 2
145.038 587.99 1
479.77 588.035 1
319.626 588.69 1
88.4171 589.561 1
381.767 589.713 1
61.9908 593.317 1
249.221 592.828 1
183.539 593.148 1
401.489 594.411 1
484.699 594.062 1
518.785 15.8551 1
10.9268 20.3084 1
267.238 28.5816 4
366.069 27.7082 1
211.118 31.9531 9
257.762 68.4971 30
361.796 289.109 4
318.217 333.597 30
394.25 366.318 40
328.226 432.621 23
411.328 475.241 12
49.2402 518.953 6
86.676 18.9763 1
97.8599 19.052 1
536.047 19.5725 1
44.0419 26.8589 2
256.719 37.7615 1
561.805 58.2949 1
571.095 70.0906 1
432.242 84.4734 7
292.778 104.595 20
202.131 133.064 2
296.155 155.597 10
196.121 172.574 5
378.953 176.277 12
299.857 186.396 1
190.557 189.608 13
421.142 199.623 8
303.551 205.368 2
390.702 210.465 16
258.788 227.035 2
187.517 225.056 15
258.2 235.522 28
378.331 237.658 1
447.463 244.838 19
138.429 251.635 15
371.878 253.499 1
255.954 256.486 1
305.398 277.439 1
433.411 285.991 10
319.025 289.559 1
193.679 299.988 2
439.52 299.904 5
373.17 307.83 9
132.848 313.372 8
251.004 315.914 2
300.559 322.848 5
390.043 323.057 18
437.837 333.083 23
387.797 342.476 5
185.866 351.901 1
182.561 366.274 2
351.951 366.71 16
303.381 372.494 4
194.53 373.414 20
441.968 391.867 1
386.104 403.792 3
244.738 427.001 3
174.493 426.101 18
366.096 437.883 1
107.892 446.759 2
449.853 445.004 16
314.632 472.964 10
449.326 482.747 6
162.891 482.45 21
478.655 493.014 2
392.321 502.872 10
40.2354 505.375 2
161.418 509.437 15
241.727 514.147 2
351.336 516.459 5
