2765 11841
94.615 65.8538 11
83.3464 72.5308 13
67.9539 75.975 13
76.8068 75.2474 7
114.883 74.2198 29
53.9139 77.6773 20
108.62 78.2209 2
129.854 77.0725 35
142.123 80.7209 18
42.4471 84.6789 5
149.53 85.0675 6
32.0601 93.5331 6
152.88 107.197 12
248.638 115.028 3
27.985 124.092 2
428.894 126.43 8
272.802 121.337 34
68.7404 130.105 14
112.683 130.666 5
337.648 128.955 24
349.662 130.639 7
312.217 132.191 2
130.797 135.162 15
268.919 139.7 7
55.405 139.626 1
362.663 140.382 26
323.214 144.362 11
172.768 145.971 15
89.4775 145.682 1
63.1684 149.554 14
355.519 151.127 1
130.218 152.402 3
344.123 152.448 6
323.384 154.705 10
176.798 156.956 12
55.7789 159.24 8
160.517 159.372 14
340.289 159.954 4
409.54 158.514 26
125.661 161.458 14
384.039 163.008 2
96.4879 164.657 14
401.415 165.533 16
81.5138 176.943 19
181.659 176.103 13
9.65012 178.731 1
163.614 181.855 10
81.6168 180.601 2
103.299 176.304 19
406.427 185.175 22
330.295 184.041 25
407.202 188.16 1
7.06289 191.007 1
224.647 189.385 40
255.838 191.727 34
96.6826 190.947 20
139.022 197.099 11
243.63 196.961 5
5.388 199.221 1
281.464 199.768 13
273.051 200.989 4
384.426 200.026 25
174.628 205.207 5
10.1725 210.161 2
74.1233 208.652 5
113.914 209.713 3
399.861 211.147 8
227.383 207.071 22
106.984 213.479 2
93.1416 214.171 9
136.287 217.013 2
104.197 217.491 3
173.579 216.857 7
162.147 217.083 16
260.108 220.088 43
148.109 221.102 12
192.595 219.653 11
285.169 224.178 1
107.353 226.652 24
135.459 226.092 9
328.818 223.011 4
77.7795 227.072 1
85.5447 224.283 4
15.5299 230.165 1
123.67 226.959 19
170.595 229.88 10
227.736 230.442 12
238.557 229.499 43
108.538 232.688 6
210.849 229.48 32
185.644 232.872 10
215.268 236.246 8
68.692 236.953 19
351.305 237.122 17
97.3708 241.331 10
89.454 245.87 1
228.175 246.638 2
166.005 253.067 2
21.8841 253.437 1
187.384 254.972 8
137.081 257.096 18
188.031 266.034 21
112.125 268.59 12
132.225 267.147 12
27.1381 271.557 1
190.214 271.231 1
164.49 277.352 14
28.1371 278.31 6
237.953 280.279 1
137.804 282.679 35
185.335 283.568 14
147.685 287.587 2
168.506 289.372 20
123.951 291.492 1
167.428 295.591 8
109.832 296.887 3
100.002 299.989 27
182.572 306.078 8
190.352 306.344 14
163.438 312.014 1
319.565 315.469 4
317.641 321.882 3
187.131 325.583 1
348.011 324.831 16
339.158 332.042 16
351.159 338.093 20
224.878 344.019 18
135.859 348.093 24
207.262 354.054 25
195.048 359.192 20
5.29492 359.574 1
81.3219 358.956 11
209.226 362.313 2
35.2757 362.172 8
190.458 367.241 13
313.264 370.556 5
96.3777 372.074 15
301.196 375.26 33
321.142 375.216 39
117.468 389.043 6
188.921 399.004 31
139.997 406.742 14
197.735 408.225 4
68.9588 416.54 1
74.8564 421.264 3
208.909 419.561 7
43.4917 423.329 1
81.0025 427.268 10
190.622 427.982 1
85.4635 430.747 3
184.728 432.306 2
175.655 435.14 43
94.7538 440.839 1
191.871 446.888 8
121.876 474.067 28
227.306 477.405 18
111.899 478.804 7
132.763 488.224 17
137.97 489.823 1
245.586 492.502 17
16.6284 494.166 1
267.954 494.558 1
254.022 496.971 36
15.9744 505.762 1
268.879 507.82 12
290.775 511.28 18
159.504 513.003 21
15.2886 516.341 1
163.157 522.553 1
179.393 528.139 26
137.126 530.491 2
307.239 532.366 4
126.396 539.057 2
302.352 537.075 14
299.653 545.948 19
207.631 549.646 1
165.282 549.949 4
159.266 558.262 11
213.819 556.398 16
7.35226 558.368 1
285.432 557.151 13
163.807 562.938 1
269.058 567.987 10
16.9853 569.292 1
208.238 572.919 9
153.51 578.623 4
250.566 578.81 1
6.0248 584.234 1
26.45 584.082 2
135.233 586.101 1
128.848 592.334 1
43.1713 74.0191 1
37.098 77.4889 4
85.0133 80.2033 5
118.595 82.7839 27
27.214 84.67 1
140.031 91.7305 3
30.4122 103.817 2
289.972 107.392 29
144.506 108.441 2
