3176 15384
95.1357 7.17128 1
268.636 8.07095 1
103.875 9.85727 1
122.56 10.9065 2
64.3823 43.2455 5
165.955 58.8973 13
429.809 63.8622 7
160.991 66.2183 3
157.645 70.6089 2
428.681 69.9386 1
73.1067 71.4067 6
423.612 76.985 1
44.8487 82.2242 6
419.832 81.6452 3
476.771 83.7302 7
77.0636 84.9673 15
165.176 86.648 3
145.143 87.9609 9
415.8 90.7949 4
79.9816 97.513 11
256.972 97.1525 6
415.207 99.6211 3
267.023 99.6167 3
445.719 102.246 5
83.2699 104.56 9
409.38 104.577 6
496.792 106.122 2
135.762 105.39 18
41.3703 110.886 3
87.7739 111.482 22
221.158 112.019 11
156.053 113.601 3
407.584 114.279 2
414.815 115.198 4
128.695 118.334 11
252.563 119.405 9
442.827 118.271 20
375.676 120.083 1
217.937 121.694 17
42.2177 121.877 1
91.7932 122.028 3
435.376 127.473 13
373.142 129.291 20
410.972 127.52 3
43.1155 127.982 1
92.987 128.145 1
264.549 127.46 4
256.326 130.999 17
427.963 132.238 22
213.625 134.711 5
242.959 134.801 3
370.643 133.082 16
431.822 133.348 28
279.346 134.807 9
95.3943 137.924 13
121.539 134.621 12
499.728 136.843 3
45.2835 139.702 1
233.264 138.914 18
361.559 142.929 19
274.087 144.981 34
115.598 142.913 21
389.69 146.927 2
214.755 145.914 43
109.727 148.633 19
141.43 147.06 11
104.706 152.421 2
282.147 154.252 20
120.395 154.03 4
352.59 153.938 25
331.192 159.264 11
54.2704 163.941 10
140.608 164.9 28
212.948 163.956 36
347.973 162.532 33
131.68 168.078 9
56.2194 170.24 12
237.368 169.867 29
278.016 171.96 11
118.335 173.949 8
197.807 171.825 17
249.203 170.514 17
60.9606 175.198 1
327.694 174.601 32
64.2514 178.94 2
136.554 177.492 14
324.799 177.954 9
111.955 181.018 15
216.274 183.221 23
385.306 182.643 10
199.903 185.843 5
154.291 187.457 12
66.7789 188.225 19
233.046 184.484 30
105.551 192.497 1
159.493 193.641 31
209.114 189.299 21
70.8631 192.822 1
251.901 191.926 16
318.727 192.787 25
50.0406 193.997 6
225.805 195.227 10
104.833 199.175 1
275.38 200.108 15
390.365 198.74 10
163.531 205.458 23
18.6754 204.031 1
77.3103 203.862 22
197.697 204.004 20
212.891 202.304 58
306.967 205.79 30
192.636 208.093 9
159.62 212.859 7
253.071 211.343 4
323.148 211.672 2
101.849 211.794 32
213.064 214.755 11
433.589 215.725 4
76.3148 217.811 11
262.149 217.222 7
92.0393 219.185 3
239.801 220.481 4
498.121 220.716 2
220.502 223.459 11
422.151 222.192 19
505.965 223.54 1
410.423 225.965 2
14.0177 228.019 1
500.542 230.772 1
131.046 235.29 19
500.538 238.446 6
72.9749 240.716 17
209.075 244.826 12
418.101 249.816 16
201.634 252.426 3
66.5335 254.858 12
499.453 254.472 1
206.968 255.294 9
505.349 256.192 3
100.559 260.738 31
72.4231 264.896 9
188.255 266.459 6
418.243 268.247 8
435.831 266.986 1
459.175 265.296 12
466.149 265.384 18
481.734 264.802 23
490.119 265.692 10
501.91 268.178 2
74.9167 272.267 12
25.7333 280.305 2
86.6395 283.002 14
52.5793 285.055 4
309.259 284.695 1
80.0417 289.491 24
150.019 293.884 11
415.805 297.288 43
129.472 299.756 24
5.57336 302.6 2
353.073 302.193 6
124.137 303.534 24
104.174 302.403 50
361.492 306.236 4
142.923 310.504 4
281.773 315.623 11
72.6803 314.14 18
141.421 318.992 6
174.019 319.141 2
87.9428 327.214 17
101.104 326.293 4
136.294 329.096 17
76.6348 331.116 2
12.4408 332.784 1
158.957 331.295 43
429.204 335.542 17
442.589 337.518 18
451.431 338.979 1
60.8304 339.512 16
497.601 339.908 4
118.586 340.741 1
97.0638 341.721 4
46.9501 342.641 7
125.207 344.967 6
424.661 348.499 6
181.475 344.502 32
116.212 352.223 40
166.684 348.506 8
156.322 349.335 28
143.275 351.185 16
448.537 352.781 5
136.828 355.549 4
112.37 358.818 10
252.18 360.513 2
413.372 359.148 27
99.9727 364.128 18
344.279 369.909 4
402.077 371.433 1
412.106 371.188 1
447.448 369.896 5
458.518 370.468 6
501.568 371.971 1
37.175 370.599 14
123.03 372.746 8
98.622 373.883 16
410.172 378.606 16
93.7696 380.039 3
389.956 380.049 15
386.26 382.606 1
89.1682 384.897 7
116.233 384.597 27
353.485 386.763 7
140.517 390.041 13
324.539 388.259 24
426.669 387.671 20
375.669 389.652 3
23.3168 391.987 1
108.927 393.214 1
161.76 391.461 25
352.653 398.802 13
78.5063 393.773 15
155.507 393.984 23
440.339 394.583 17
39.2644 398.767 5
101.649 399.875 7
376.576 401.29 6
26.3944 403.464 3
38.4422 403.138 1
166.366 402.142 15
70.0436 403.691 18
108.759 404.322 18
317.635 405.303 12
144.876 404.534 25
357.666 410.089 10
453.367 407.515 21
65.9777 409.683 1
26.8994 411.249 2
45.791 414.052 2
358.631 414.112 1
418.254 413.037 3
149.694 414.43 18
380.425 413.489 13
370.299 415.074 14
57.0555 419.175 1
5.34861 420.51 1
194.122 421.087 4
107.657 423.96 7
12.1058 424.366 1
40.5496 423.805 1
200.885 423.017 6
36.7019 425.475 3
154.202 426.62 31
50.6546 424.654 13
437.356 425.189 9
449.161 425.751 6
105.501 428.202 2
513.51 427.528 1
369.178 428.764 1
379.344 429.39 31
41.1985 434.728 6
157.679 433.543 1
409.253 439.251 1
326.857 437.59 11
61.6077 438.905 8
155.356 446.683 19
143.792 447.048 9
125.956 447.911 1
455.358 447.8 22
22.3109 450.661 4
198.822 450.739 12
200.534 450.392 5
188.732 455.119 1
81.3781 456.049 4
161.348 454.919 19
122.433 457.528 1
19.6309 459.444 3
137.992 461.28 4
467.921 461.914 1
199.452 465.667 3
9.1043 467.671 1
106.115 466.697 11
155.986 471.682 15
187.622 472.017 13
59.0664 470.75 4
73.0131 468.72 45
83.1925 474.058 4
102.121 476.914 24
201.524 476.844 2
424.603 477.985 2
435.243 479.437 4
39.4367 479.487 2
469.488 480.38 7
18.3028 481.022 4
139.26 481.572 3
78.1366 486.052 15
190.014 482.283 3
479.679 481.193 8
485.941 481.896 1
9.69533 482.73 1
34.6379 482.708 6
495.455 482.592 1
328.431 483.141 2
157.433 487.676 8
11.148 488.418 1
58.3726 487.885 6
150.899 489.87 2
98.1627 492.319 2
199.655 489.515 37
121.222 492.543 3
11.7194 494.076 2
476.744 493.684 12
30.027 497.05 5
189.473 492.565 10
126.445 495.936 9
48.0383 498.826 2
405.491 500.336 17
128.682 502.248 10
168.107 502.649 7
16.6819 504.794 1
185.228 503.368 34
443.647 505.013 12
477.723 505.326 16
174.316 508.114 5
16.8998 511.298 2
124.885 511.085 7
404.701 513.93 11
34.286 515.968 5
400.127 516.866 2
434.21 517.476 1
11.8917 518.097 1
410.658 520.041 2
324.743 521.269 3
435.65 521.916 3
31.0073 524.044 6
6.58037 523.9 1
154.606 526.336 18
349.227 524.313 24
369.543 528.984 18
245.998 529.47 7
321.309 529.718 23
379.646 530.887 13
20.8984 532.795 3
328.102 534.853 4
394.767 535.649 2
403.446 533.076 23
155.025 536.938 10
316.972 537.508 3
119.156 538.109 8
15.8374 539.122 1
238.947 539.292 1
250.011 539.411 11
372.777 542.562 2
12.5464 543.955 1
351.487 543.643 3
335.844 547.369 9
439.312 541.78 12
365.785 545.318 24
476.01 549.701 3
339.626 552.622 6
256.21 553.395 5
395.677 552.557 15
400.952 553.63 2
84.5598 555.474 8
259.031 560.914 6
82.2349 564.767 1
408.419 571.302 2
76.8013 573.686 4
231.367 573.395 2
91.0906 576.396 1
103.105 577.911 2
73.2249 577.557 3
227.708 582.109 2
88.5052 583.165 1
69.775 587 2
450.849 589.02 1
85.5723 590.065 1
90.1144 9.18457 1
69.1484 46.9475 16
61.7913 52.3848 4
76.3112 53.2566 9
65.9746 59.6178 3
170.319 62.3208 7
169.915 65.4337 5
420.153 70.6879 22
162.668 70.9684 1
65.2663 73.3318 4
410.918 72.9898 8
81.2481 75.8592 25
465.543 90.5632 17
422.804 88.8234 19
87.6377 93.4743 45
86.7534 97.2007 4
144.213 100.559 5
240.955 105.706 31
256.648 104.651 20
92.1012 105.32 9
417.445 105.645 21
163.399 105.628 9
234.947 113.266 18
354.163 109.492 20
137.384 114.457 12
95.1379 114.78 10
224.762 115.718 3
283.43 115.509 15
260.35 119.632 12
411.414 118.552 3
232.261 125.998 16
224.086 127.971 18
287.245 128.13 18
440.9 133.336 24
100.241 131.012 18
154.823 130.82 15
439.687 131.223 2
379.755 131.758 9
104.358 138.286 7
425.99 140.438 6
503.955 141.136 1
124.797 142.981 8
149.979 144.086 16
287.522 144.12 40
369.67 146.103 33
235.645 147.274 31
219.312 147.05 9
348.441 146.864 5
108.224 147.722 1
224.92 150.958 5
276.753 153.356 3
501.623 151.537 1
127.082 152.524 4
292.278 152.22 18
377.749 154.194 5
147.086 155.576 42
114.808 158.617 15
184.545 156.283 2
191.84 158.242 10
508.718 157.825 1
225.637 159.932 10
276.051 158.889 5
404.528 159.115 1
356.091 163.195 31
377.514 161.178 8
288.2 161.195 8
338.644 164.097 9
248.238 166.065 19
163.278 164.046 4
153.098 167.897 33
44.0238 166.548 1
122.302 166.649 7
287.322 170.432 40
492.982 168.74 2
213.911 169.692 6
225.117 170.122 2
135.378 174.942 4
168.41 174.294 11
150.289 177.101 30
191.537 177.53 12
202.011 177.272 3
282.44 177.513 10
338.164 176.012 72
187.047 180.91 12
257.79 181.054 30
391.344 176.225 3
72.3303 182.3 3
117.295 184.163 17
159.741 180.724 16
144.892 181.318 2
10.5981 182.006 1
57.0798 183.692 6
315.405 183.315 15
240.649 183.369 23
223.894 186.384 10
330.551 193.221 35
282.659 187.441 51
74.4322 186.972 11
201.682 188.164 2
247.448 190.918 10
242.509 193.801 4
39.9813 192.531 1
169.935 194.172 23
181.576 193.932 4
330.667 195.814 19
234.976 199.533 24
309.679 196.984 5
470.128 199.758 10
53.9678 198.499 4
248.733 199.763 41
395.621 197.827 2
492.559 198.278 5
286.509 198.963 37
44.5508 202.665 4
226.029 205.007 42
86.3817 204.07 1
326.368 208.163 22
458.581 205.211 17
259.975 206.257 1
288.252 209.155 23
499.691 206.999 1
22.7746 208.206 3
210.08 207.796 1
202.047 217.773 29
297.545 212.73 6
77.9038 210.077 1
129.017 210.288 21
174.838 208.984 50
461.508 210.822 1
303.859 211.871 1
472.016 212.852 8
136.635 213.948 7
188.383 216.077 5
311.276 221.173 18
504.328 214.207 1
177.029 216.345 7
258.177 214.369 24
337.796 215.117 10
443.821 217.729 9
108.525 219.076 12
332.3 218.699 4
248.719 222.37 27
257.716 221.331 4
435.08 222.495 8
38.4058 222.086 1
76.1938 224.446 8
93.9182 224.436 1
275.964 224.486 2
427.965 226.89 5
137.301 225.314 17
508.407 227.926 1
142.741 230.575 9
245.119 229.395 8
365.43 228.442 2
176.241 229.775 10
186.406 231.48 12
406.065 229.948 10
418.151 232.781 40
222.855 231.176 11
230.58 232.91 21
146.349 241.526 14
101.29 240.489 24
506.098 239.245 1
216.629 241.086 2
137.213 250.775 15
422.875 243.884 11
219.491 249.803 6
75.9179 252.903 40
170.447 250.196 1
300.708 250.141 1
119.739 250.594 1
212.148 253.772 22
483.008 254.736 4
512.399 255.972 1
343.901 258.699 11
451.297 257.153 14
423.412 259.866 9
57.6662 261.091 1
452.88 262.464 6
110.687 262.927 28
475.584 262.545 1
331.463 264.979 4
81.2214 267.137 37
374.596 268.219 2
197.426 271.836 9
55.9646 270.298 1
25.8893 270.872 2
265.891 271.042 7
427.746 275.021 33
39.2754 273.641 2
22.4399 278.775 1
61.8342 280.044 9
36.7943 280.837 5
76.6576 282.649 3
302.145 284.578 2
341.017 287.152 6
358.601 288.147 14
87.9787 289.383 2
317.516 289.441 1
425.262 290.286 13
349.763 291.987 8
365.368 291.663 1
71.8415 292.486 1
154.833 299.865 21
112.937 299.85 9
140.917 303.801 2
11.126 306.319 1
152.084 308.568 18
349.173 311.569 33
129.434 312.006 32
64.1035 312.888 3
226.014 315.331 7
278.521 313.906 5
149.275 318.691 34
253.004 317.255 33
382.051 315.076 5
95.6176 317.954 12
112.351 317.703 2
80.0491 321.614 7
129.422 319.832 6
229.574 320.34 1
104.736 322.075 7
220.913 322.053 14
241.439 319.626 11
148.25 324.504 33
259.34 325.712 4
35.051 324.804 4
170.349 324.914 21
53.7417 323.124 3
209.107 326.418 5
86.7706 326.788 2
223.379 327.828 3
113.498 329.536 5
66.0459 330.288 4
24.8484 330.702 1
97.6261 334.016 27
142.551 333.309 26
92.0288 336.164 6
512.781 334.361 1
180.074 337.053 24
4.80639 336.281 1
27.8433 337.388 1
75.3173 336.627 4
150.186 339.759 19
13.6158 338.015 1
234.026 339.431 7
255.668 342.749 28
84.8506 343.974 7
266.372 343.542 13
431.124 345.406 29
439.745 347.872 7
501.121 344.029 1
63.7332 345 11
75.1461 344.74 1
113.092 346.418 4
50.6648 348.852 14
99.8824 348.697 8
173.406 346.189 3
510.323 345.938 1
163.162 346.676 4
191.231 347.36 13
110.735 347.799 3
136.938 347.825 1
33.1081 349.248 2
88.4035 350.353 3
260.053 349.743 8
214.899 349.163 9
85.6018 351.135 4
251.714 353.734 7
46.178 354.036 2
218.916 353.936 1
424.471 355.89 30
130.955 355.179 1
346.047 355.957 46
38.2286 355.486 10
434.013 357.918 11
503.884 356.126 1
81.7926 359.211 10
94.6248 357.53 20
122.43 358.929 8
154.919 357.526 3
512.131 357.134 1
59.0157 358.312 6
141.744 359.187 16
244.928 358.523 4
62.8099 363.464 5
131.655 365.688 13
429.885 365.186 25
6.5524 364.537 1
233.006 363.934 9
357.056 365.543 18
58.0768 365.546 2
419.088 367.52 21
243.898 368.12 6
83.2638 368.005 2
427.172 368.176 10
437.243 368.822 11
406.696 370.202 15
487.422 372.972 7
73.1916 371.696 5
114.774 372.001 15
129.529 372.735 17
201.818 371.651 1
340.652 373.215 2
181.637 373.914 1
91.1628 374.628 6
418.853 375.858 34
350.748 375.628 4
471.565 378.123 9
431.603 379.77 13
