4978 21669
152.428 4.74172 1
406.952 5.13876 1
412.037 5.40759 1
784.805 4.53649 1
90.0333 5.77752 1
400.915 5.74779 1
376.457 7.98159 1
381.794 8.20159 1
386.551 7.49708 1
138.487 8.66571 1
448.814 8.92647 1
127.99 11.0204 1
258.806 10.7922 1
424.1 11.352 1
608.09 10.9412 1
186.226 11.4778 1
336.074 11.8446 1
341.942 11.5027 2
614.781 13.0682 1
645.513 12.6388 1
765.404 12.6354 1
175.713 13.9945 1
669.854 14.1075 1
98.4789 14.6467 1
112.964 15.4337 1
236.611 14.6853 1
372.561 14.8113 1
600.681 15.3327 1
620.818 15.0299 1
652.66 14.5766 1
364.9 16.2892 1
454.288 17.5336 2
710.654 18.7906 1
352.439 18.9482 2
80.12 21.2873 3
685.108 20.4666 1
731.303 22.2319 1
385.582 23.632 4
139.067 26.9129 1
172.637 26.2347 7
511.54 26.7713 4
500.201 28.0304 7
126.623 29.3597 3
100.748 27.6024 7
487.215 29.0602 6
113.802 35.736 2
278.144 38.6887 3
272.322 39.3944 10
351.7 39.6317 1
618.253 39.6279 4
265.158 41.5795 1
520.562 43.2186 3
320.964 42.0612 4
79.4658 47.0307 9
305.209 49.4128 2
262.552 47.8205 9
280.536 50.2699 2
692.962 49.631 2
718.609 49.585 7
640.901 51.0281 1
633.001 51.6496 2
245.119 51.7766 3
186.604 52.5798 28
459.033 53.171 13
598.187 53.3839 6
233.78 51.0962 8
489.909 53.5832 11
428.002 56.5525 7
501.99 54.6803 16
416.122 58.5734 6
735.449 57.4875 14
749.001 58.0115 10
44.602 56.6383 5
411.86 59.9343 5
405.932 59.4056 4
549.403 61.9295 2
396.42 64.2709 1
65.6467 65.0316 1
390.336 65.0233 6
117.985 63.4825 19
461.119 66.0223 8
474.858 65.7949 7
488.855 64.3765 11
500.992 64.3 11
39.3497 67.7208 6
384.204 67.47 3
53.6525 68.8389 8
198.81 70.4351 10
376.739 69.9385 3
517.122 70.2107 14
557.742 67.7249 17
136.164 70.0938 7
507.077 71.5457 1
368.841 71.7314 9
529.89 73.3421 6
357.21 77.5776 1
53.4947 78.0628 3
98.7551 78.7174 18
127.322 81.7599 12
576.056 82.1068 31
147.072 83.5058 20
168.256 84.5368 9
87.693 88.6521 5
159.973 88.1244 3
507.394 86.8672 4
513.927 89.0082 7
68.083 89.9093 6
138.777 85.5449 16
99.0153 89.1514 15
327.587 93.9353 1
523.947 92.6914 8
496.305 94.2323 9
36.1208 98.8254 8
133.666 95.9223 23
586.47 92.8957 20
536.504 96.8158 8
86.9771 95.4443 15
505.714 99.5727 15
547.886 101.213 6
314.87 101.607 6
597.052 99.846 23
141.396 106.032 11
487.15 106.146 12
607.618 105.914 34
565.585 109.543 7
62.3486 114.618 3
481.298 112.697 13
22.1285 116.911 6
577.873 117.134 6
544.934 122.125 6
587.939 124.02 6
247.516 125.557 3
473.428 127.545 7
490.259 126.347 1
429.165 128.187 11
154.718 127.374 7
593.792 128.872 1
241.351 128.729 1
279.428 129.077 11
584.92 128.539 11
36.8346 133.93 13
33.1808 137.189 2
275.204 136.324 10
489.591 139.39 2
389.267 137.972 16
399.287 136.931 24
407.627 137.405 24
415.956 142.358 5
579.51 143.048 8
633.442 143.586 8
28.2909 142.869 1
353.166 143.407 1
362.59 142.666 4
372.01 138.89 16
380.726 141.796 4
202.566 141.598 7
334.434 144.275 1
343.491 143.84 1
316.68 144.19 4
324.961 145.088 1
302.499 143.866 41
455.689 145.236 9
271.342 148.73 9
183.147 146.39 12
518.255 144.472 13
586.624 147.367 6
258.386 146.926 50
547.351 150.139 2
116.876 148.864 8
424.759 148.304 18
642.557 153.925 12
745.48 151.041 1
171.232 150.111 13
