5122 24487
126.6 5.08953 1
182.841 4.77057 1
363.219 5.0914 1
592.151 6.35556 1
166.76 6.665 2
121.982 9.06398 1
440.766 8.74542 1
196.781 11.2521 1
346.086 12.8252 2
22.2825 16.6155 1
132.467 15.5429 1
61.0963 16.499 1
113.085 17.7371 1
150.107 18.5287 2
201.682 18.8075 4
190.936 19.66 3
425.562 19.0218 3
106.92 22.32 4
240.192 21.4086 10
81.3164 22.7315 1
251.09 22.9038 2
264.435 23.6473 9
436.188 22.2883 4
94.953 24.2611 1
271 24.7093 1
50.8985 24.9022 1
105.669 25.6281 1
285.009 26.1854 6
514.822 25.6634 4
293.193 26.8923 8
411.4 28.1358 3
478.007 27.7418 7
300.52 28.3483 8
46.1498 30.1702 6
312.647 29.7678 1
321.617 32.0686 2
305.444 32.6083 1
70.7291 33.9637 9
513.668 33.275 3
38.6591 35.1485 1
18.015 35.9851 2
530.465 36.6289 6
108.033 37.3191 7
569.965 36.8291 1
103.287 37.7189 2
64.2433 37.5773 3
374.023 39.2047 1
24.6539 40.1314 2
54.0213 40.2255 2
292.187 39.1873 5
36.3204 41.3984 8
477.809 43.2505 1
134.474 43.3985 20
95.899 43.3442 9
422.368 45.4686 1
491.285 43.878 4
497.929 47.5786 5
26.4648 47.7481 5
308.505 49.392 2
355.204 47.823 1
192.967 47.4024 21
200.563 49.2249 1
216.264 48.7385 9
244.192 49.4683 1
271.893 48.5068 10
361.703 50.2395 1
293.604 51.0878 1
178.892 51.6203 15
573.124 52.0577 7
313.664 52.6225 9
326.146 50.6515 21
117.523 52.29 5
555.077 57.0016 5
149.15 54.813 2
382.686 55.7961 7
386.784 56.7884 4
15.5303 59.0497 2
399.569 57.9444 7
92.2724 58.7015 16
529.256 60.8173 4
104.716 63.77 4
319.318 62.4293 1
558.059 61.5062 7
12.9089 64.1373 1
495.088 65.7878 2
518.684 65.5524 22
183.13 62.995 22
391.138 63.8201 12
88.6981 68.9221 12
16.4005 71.5692 1
121.747 71.2713 7
472.121 72.352 3
519.799 73.6914 1
550.591 72.2045 8
103.838 78.5548 4
407.366 74.8208 41
424.291 80.9293 13
545.503 84.9378 7
81.3722 84.8538 7
200.578 84.9021 13
184.021 84.9467 44
182.33 87.8889 1
556.268 88.1598 11
127.363 86.8721 17
12.2994 91.0865 2
159.291 89.2325 20
151.771 92.4875 2
33.1636 92.922 1
561.057 93.041 10
407.515 88.2796 33
421.65 93.5597 10
312.721 95.5672 1
534.925 95.5126 3
60.5397 95.4728 5
178.998 97.4688 4
5.29742 97.6087 1
163.092 99.857 1
303.061 99.7085 1
18.778 100.669 2
255.894 100.625 8
528.112 99.8354 5
297.431 102.717 2
536.907 103.057 25
549.516 102.274 11
333.266 109.651 10
172.882 104.355 24
395.28 107.83 21
50.7815 108.55 15
30.5098 110.101 2
113.537 108.521 5
430.187 108.049 18
233.939 110.548 1
385.355 109.534 29
392.918 112.417 9
411.889 111.687 29
498.839 108.041 20
523.07 111.502 9
331.863 113.428 24
308.111 113.378 20
317.864 114.872 14
295.488 115.892 9
327.108 117.328 1
338.292 114.636 9
146.987 117.673 5
238.263 117.252 6
211.726 123.806 8
95.7502 123.979 4
211.018 130.977 3
158.497 139.708 17
207.065 132.718 3
481.397 135.078 8
546.738 134.779 3
231.421 133.411 9
64.1406 138.833 11
91.5556 137.458 24
403.79 139.621 1
429.448 140.131 22
224.529 145.416 14
182.354 143.982 26
201.499 143.458 39
93.4049 146.98 2
103.672 145.789 35
129.641 148.466 42
39.6238 149.903 2
58.5591 149.338 3
67.4166 150.298 18
518.073 147.215 16
541.552 150.894 15
106.796 151.065 24
291.987 152.699 5
441.335 152.111 11
112.647 153.472 4
88.3988 154.736 32
482.345 152.497 16
225.409 154.44 36
259.022 152.931 30
402.5 154.097 15
451.412 151.746 22
28.5927 158.75 6
62.7527 158.603 14
257.331 161.639 2
314.252 159.816 34
344.517 162.616 1
56.6985 160.729 12
110.642 164.022 23
217.502 163.519 30
142.418 164.965 1
153.155 164.409 4
28.9158 167.283 2
337.048 171.277 11
452.763 164.203 20
52.626 169.826 2
22.9554 170.593 3
394.606 170.615 2
148.628 170.624 34
272.381 172.792 59
19.3411 174.607 1
260.051 170.47 29
4.88817 176.121 1
72.7058 179.102 4
108.985 178.869 8
471.689 177.93 35
279.913 179.365 8
363.295 179.113 8
449.383 174.079 30
331.694 181.891 8
347.131 179.566 6
378.614 184.338 9
41.3786 183.926 13
423.983 180.187 14
248.944 182.312 13
468.392 187.505 1
507.369 186.434 3
76.8541 187.633 3
105.782 187.71 1
113.582 187.135 9
209.086 187.094 31
252.257 187.98 2
39.1254 190.325 2
58.1434 189.537 11
246.566 191.35 10
372.793 191.012 2
357.292 191.778 4
463.074 190.601 14
47.9263 193.871 2
80.214 194.713 11
476.534 193.087 17
346.709 196.411 14
384.064 195.008 30
169.596 197.366 13
110.422 201.609 9
74.4691 199.152 15
284.273 200.14 10
572.424 199.413 5
