3393 17611
206.509 98.5348 11
233.899 99.6369 11
232.545 108.846 12
193.6 110.925 16
243.343 111.154 13
190.38 115.951 6
224.066 116.639 3
283.456 115.687 22
271.868 115.831 9
242.963 118.822 3
303.436 123.344 12
231.877 122.402 26
309.733 125.101 1
186.992 127.099 8
224.304 125.46 16
328.865 131.692 3
187.384 135.054 10
220.246 135.187 2
342.73 138.961 1
200.097 148.166 1
193.671 154.051 32
190.844 161.407 7
301.342 173.716 13
291.724 175.097 1
307.312 175.145 3
313.668 177.448 4
279.016 177.745 55
271.762 183.025 3
325.981 179.987 47
51.0061 186.051 10
339.277 193.222 8
174.481 196.062 16
93.549 195.068 16
111.65 195.065 34
348.96 200.21 18
117.886 200.43 4
175.302 209.487 25
114.917 212.238 14
220.496 214.764 7
367.842 216.233 42
401.582 215.954 5
89.7242 216.637 13
173.302 221.527 8
314.621 220.116 9
49.254 220.434 11
376.285 224.631 20
113.717 230.904 8
232.264 237.519 20
377.976 235.833 2
86.5484 235.395 22
415.25 236.791 2
101.491 239.115 1
29.8989 241.313 2
48.5861 237.82 9
109.937 241.493 31
220.032 242.107 18
312.831 247.494 40
386.188 247.252 2
96.2651 251.757 2
214.944 253.106 9
316.182 253.928 12
105.596 250.967 18
412.11 254.196 15
277.154 256.479 1
298.948 254.436 14
260.307 256.037 18
269.086 255.535 5
231.671 257.006 28
154.216 263.061 13
118.256 265.347 19
70.0703 266.218 16
194.412 269.651 10
173.718 272.077 37
188.045 274.566 26
400.112 278.518 8
65.0485 278.519 23
402.699 286.023 3
217.555 284.88 24
204.732 287.738 24
512.528 287.641 18
113.135 294.491 23
107.043 292.778 11
55.3599 295.258 18
134.757 296.535 4
405.921 298.127 1
90.0822 300.035 4
125.588 298.095 18
197.858 304.272 26
193.407 306.538 2
48.8684 309.94 14
407.546 310.181 3
95.8045 316.739 12
408.855 316.23 23
456.44 319.386 1
386.686 321.556 12
397.786 321.283 17
414.059 325.092 4
43.9135 324.292 6
99.4353 328.532 16
334.312 326.536 5
456.628 325.489 24
200.315 328.023 5
320.23 329.439 19
311.068 332.475 10
435.11 332.965 1
428.082 332.802 22
365.688 336.801 12
116.083 336.522 19
198.092 338.57 20
32.2888 337.794 1
130.203 336.472 16
354.724 337.704 6
292.375 339.08 27
291.606 339.992 8
366.883 339.84 1
447.035 337.886 25
417.753 335.825 23
108.079 342.464 4
346.031 341.55 18
467.339 341.305 18
273.959 342.492 29
377.855 343.435 18
410.903 344.064 25
200.08 346.809 9
337.331 345.327 16
477.197 347.813 1
284.04 349.528 2
441.895 351.085 8
401.304 348.63 24
328.282 352.124 13
210.821 351.274 28
280.314 352.637 6
141.488 356.06 8
318.3 358.023 22
131.283 355.406 18
195.594 358.997 20
264.102 359.075 20
195.014 362.007 4
135.512 363.455 1
308.61 361.375 19
362.482 363.365 5
433.024 362.718 15
145.002 359.419 34
231.596 362.036 20
298.014 367.112 22
128.84 371.351 2
182.241 369.589 24
487.875 370.631 1
288.108 372.285 23
154.78 371.247 36
179.436 374.269 15
241.681 376.407 38
262.137 375.815 1
492.872 377.967 10
277.039 377.285 37
362.488 377.877 18
55.6215 380.377 10
361.895 381.059 1
129.12 383.45 19
114.272 381.23 36
159.75 382.645 35
243.807 388.334 4
354.646 388.218 3
27.94 387.205 4
150.872 387.583 13
