7979 41832
542.479 4.99362 1
218.587 6.17169 1
402.347 5.59506 1
743.502 5.99616 1
520.288 7.07231 1
681.518 6.87937 1
701.064 7.21328 1
129.986 9.25082 3
224.386 7.85196 1
721.42 8.51968 2
164.708 9.16631 1
471.749 8.94904 1
139.971 9.96221 1
326.204 9.76176 1
528.528 9.79037 1
652.507 10.0109 2
360.063 11.3366 1
571.922 11.2667 1
493.421 11.7764 1
149.453 13.255 1
216.488 13.2737 1
405.518 12.7861 1
181.724 13.8262 1
236.719 13.6217 2
420.869 15.0564 1
453.394 15.1432 1
545.911 14.9488 1
740.959 15.4301 2
790.965 15.1344 1
66.6445 15.5084 1
159.431 16.3688 1
197.378 16.8339 1
405.091 16.6452 1
643.084 16.8055 1
635.815 17.3543 1
316.038 18.5 1
513.233 18.6318 3
599.731 19.3834 2
176.269 19.9445 1
398.329 19.7019 1
733.567 19.5545 2
786.1 20.1749 1
27.0989 19.0902 3
341.228 20.5787 2
725.147 20.7442 3
22.8753 22.6953 1
142.694 23.2157 1
433.771 21.6838 10
362.101 21.6321 3
629.475 23.9195 1
691.357 23.6838 5
263.34 27.5018 7
750.562 25.3873 3
778.104 25.3545 1
297.413 24.8335 3
262.709 28.0914 1
739.273 27.9443 8
397.208 30.9648 15
527.694 28.4682 1
600.919 28.525 1
221.494 30.3016 1
662.55 26.9255 9
482.384 32.8884 16
490.238 30.6722 1
534.527 31.3013 2
51.791 31.1837 3
335.218 31.9282 4
425.915 31.5881 4
549.374 29.3177 9
587.949 30.3869 6
792.96 31.5346 1
14.577 34.6945 1
77.1912 33.4944 8
173.315 31.7569 10
605.606 34.6738 1
301.656 34.8101 9
482.347 35.7354 1
707.034 34.6453 3
123.152 39.3763 5
149.765 36.3226 5
204.517 36.5612 4
255.577 37.2031 11
286.788 37.7918 15
316.457 36.4092 4
754.586 38.0058 1
209.909 37.0443 8
506.038 36.4904 3
692.608 38.8319 5
236.415 39.6903 8
564.303 39.6354 11
331.513 40.6121 12
573.519 41.5259 9
122.657 42.29 3
663.467 42.4455 2
545.125 42.5362 5
207.55 43.317 18
402.574 43.977 1
279.558 44.4251 3
600.516 47.1326 9
726.636 45.8175 19
739.628 43.9806 6
195.665 45.6118 1
520.777 44.5598 8
116.396 45.4636 15
576.01 46.9696 13
674.477 48.2578 1
253.907 53.6953 13
725.559 51.3875 5
739.805 50.8169 12
43.9857 51.7523 8
209.861 52.592 1
242.104 53.4391 5
482.448 53.545 1
78.894 54.1715 13
88.0175 54.6844 1
112.092 54.4457 3
283.174 53.5176 21
658.475 57.6244 8
60.9005 57.5241 14
68.1885 58.0617 1
214.05 56.4671 4
275.422 56.611 6
226.321 57.4715 35
533.27 58.4046 3
698.413 58.6622 1
561.175 57.7917 11
232.545 62.4579 14
312.241 59.849 9
479.711 60.0185 5
731.553 61.01 17
161.78 62.0389 1
569.375 62.0367 8
651.195 62.43 16
112.031 64.4953 10
433.742 61.8592 10
720.691 63.3167 2
13.9824 63.6641 1
208.705 62.5205 9
234.202 63.9885 4
605.951 64.6858 6
734.7 67.9755 4
25.3215 66.4086 7
599.686 69.9111 7
782.537 68.5014 1
53.9066 69.4786 3
72.6131 70.0732 1
768.811 69.9691 2
429.519 71.2654 6
172.712 71.9061 2
726.774 70.4542 13
738.775 71.8061 3
206.256 72.1064 12
34.9484 73.0291 9
116.526 74.5094 8
433.009 72.6873 3
339.074 73.9394 17
610.998 73.3127 16
718.745 75.3298 10
761.214 74.6552 4
50.5658 76.0106 1
600.852 73.2675 20
115.179 76.8521 3
508.019 79.0349 4
604.386 79.6372 1
98.5175 79.9644 3
207.654 81.973 6
668.294 80.9694 25
109.016 81.4335 30
438.332 83.1084 27
473.018 81.5177 5
644.489 83.5796 13
78.5135 86.283 2
334.67 85.0351 24
637.018 86.9745 2
689.76 88.34 10
108.462 89.3422 2
427.249 90.6482 13
621.409 88.4722 8
5.23051 90.9824 1
789.581 91.4536 1
70.9793 89.1201 23
123.782 91.8783 1
703.93 91.2601 37
80.0379 92.5309 8
105.095 94.6367 2
302.172 90.8446 14
6.56466 97.1993 1
173.791 95.2733 15
205.562 95.7589 33
785.75 96.9032 1
421.57 96.8219 7
714.945 97.2745 6
432.482 99.1207 1
753.211 98.0491 20
168.321 97.8123 4
395.954 97.6741 38
437.624 97.3578 22
721.076 99.7099 5
778.184 99.8525 1
73.5393 100.752 13
624.488 97.6924 35
223.984 99.8922 11
472.064 101.611 8
20.9486 104.2 5
81.5523 104.544 3
582.274 105.102 1
15.9423 106.222 1
196.436 103.188 17
161.198 107.467 6
310.35 103.889 22
672.563 106.196 3
765.748 107.221 8
35.7108 109.446 20
600.546 108.446 1
636.961 108.394 3
776.034 109.412 4
94.6061 109.286 14
61.0519 110.624 9
161.611 114.015 4
180.929 109.561 19
661.982 107.645 20
686.383 110.679 19
324.399 114.618 4
792.94 115.146 1
301.757 115.331 6
467.879 115.169 10
775.186 115.697 8
34.9769 117.883 3
544.284 116.507 13
654.377 116.582 15
370.87 119.232 10
14.6347 119.515 2
69.1216 119.302 12
583.095 120.172 2
731.051 117.779 11
130.769 123.105 2
651.651 120.018 21
335.489 124.552 19
508.054 124.114 9
744.511 123.977 15
170.1 125.272 21
697.888 123.515 12
363.535 128.656 8
