1263 3393
176.363 5.17991 1
123.913 7.59482 1
125.231 13.1607 1
350.427 16.5376 1
127.065 21.7352 1
115.485 29.853 2
369.686 33.3565 10
175.675 36.2229 1
168.571 37.1682 4
339.745 38.4848 1
366.832 40.1868 1
130.655 40.6032 2
160.226 40.6996 7
378.371 41.0118 7
131.965 50.264 3
150.324 50.9636 4
132.996 57.77 1
148.352 63.1441 1
134.506 63.9749 5
330.116 81.5452 5
138.656 98.6889 8
215.368 103.946 15
158.827 126.024 1
6.14927 128.106 1
141.239 128.652 8
130.003 129.129 9
149.154 138.156 7
151.832 150.944 4
230.921 176.292 1
245.239 216.118 1
248.959 227.524 3
266.233 274.47 1
29.0784 305.209 2
33.0444 327.895 5
165.289 326.7 1
16.9122 328.764 1
293.107 342.321 2
12.2722 365.505 1
322.243 397.557 1
6.31542 417.265 1
359.433 418.3 4
13.1169 427.549 2
345.57 427.074 2
371.662 430.87 2
354.362 437.664 11
238.203 449.884 20
21.8023 454.716 3
298.459 463.276 8
396.51 465.859 2
293.814 483.786 21
202.348 500.547 14
282.799 520.41 13
29.8575 531.146 2
261.602 533.519 1
41.1537 538.678 1
263.855 542.743 2
48.3501 545.863 3
54.4238 549.815 9
265.973 551.047 2
58.8906 554.814 1
288.416 558.276 1
95.0511 569.24 2
105.441 568.875 11
159.298 569.299 1
193.125 568.259 10
206.954 568.689 8
220.557 569.336 5
256.693 568.084 10
268.264 567.438 11
289.832 568.75 14
300.088 568.819 3
307.299 568.908 4
318.533 569.102 8
350.625 576.088 1
73.3854 576.964 1
55.2514 581.023 1
81.5656 581.267 1
114.341 581.228 1
197.778 581.265 2
242.105 581.131 2
292.693 581.005 3
342.905 581.296 3
120.504 582.429 2
206.819 581.627 2
213.255 581.954 2
324.638 581.587 3
221.412 583.277 2
229.162 583.081 2
237.045 583.323 1
317.446 583.863 2
87.7885 584.29 2
132.776 582.741 3
190.897 582.383 3
332.293 583.869 2
60.7492 586.251 1
274.937 586.219 1
107.612 589.293 1
142.88 592.103 1
173.075 592.194 1
261.395 592.001 1
314.364 592.01 1
95.9739 593.722 1
359.757 12.6912 1
375.226 27.7959 6
172.826 42.6192 10
160.147 48.146 7
126.173 48.5282 2
114.826 49.6337 2
20.0685 52.4324 1
126.743 54.5378 1
128.168 62.3771 2
155.063 66.0566 6
155.153 72.9972 7
156.952 80.2193 11
18.8017 83.31 1
159.238 87.535 15
143.242 86.9891 1
119.997 90.7815 1
120.646 95.5737 4
143.229 96.1363 1
163.451 95.7171 13
143.8 102.877 3
133.297 105.309 3
144.637 111.225 1
134.253 113.076 2
223.768 119.86 21
123.775 121.411 1
134.957 121.314 2
145.433 122.231 3
135.397 131.267 1
146.233 130.967 1
124.828 135.76 1
174.817 145.453 6
136.903 142.491 2
126.105 146.323 3
147.727 148.68 3
17.955 152.35 1
127.859 153.686 12
148.038 154.845 3
160.026 161.229 3
138.889 165.731 4
149.105 167.956 2
17.984 171.125 1
126.039 170.257 3
159.926 175.068 1
18.4003 181.89 1
186.685 183.741 1
141.24 187.99 2
152.47 197.085 2
152.78 203.856 1
247.966 205.675 6
21.2174 209.911 1
194.808 210.053 1
153.242 211.16 2
143.671 211.922 3
251.671 214.647 10
22.8288 222.044 1
144.694 224.49 1
199.971 227.398 1
155.873 232.81 1
24.8364 235.781 2
147.169 244.025 1
136.418 262.319 1
271.263 274.74 1
31.5895 278.008 1
273.679 283.467 1
281.029 286.657 7
33.0657 289.035 1
284.743 294.299 8
33.8388 297.609 1
288.203 302.232 8
35.7497 304.908 1
39.1189 321.669 2
237.13 351.606 1
45.291 360.942 1
384.167 369.656 1
369.204 384.919 9
20.2209 400.764 1
17.0733 421.919 1
365.228 423.852 3
23.0835 446.007 4
364.037 445.842 40
364.885 454.254 7
