3840 18653
292.138 5.67951 1
309.507 8.8485 1
498.745 8.70986 1
500.452 11.3319 1
539.91 11.2224 1
581.786 11.7061 2
399.695 12.9567 1
290.996 13.808 1
287.032 14.8657 2
154.068 16.5505 2
174.539 18.5384 1
336.964 17.7847 2
450.829 19.0882 1
532.032 20.8828 2
568.387 21.64 1
483.104 22.1903 2
448.956 24.7161 3
175.693 27.0501 2
219.063 27.9665 2
480.605 28.5951 2
402.248 30.2895 2
193.662 34.0852 2
257.807 33.6023 7
485.262 34.671 2
577.883 37.1105 1
210.484 39.4384 10
246.564 38.2027 16
454.796 43.6261 5
432.197 42.2349 19
581.635 44.0002 1
274.218 43.8746 11
220.653 49.3364 14
482.137 48.9581 3
585.31 49.879 1
147.496 49.6628 12
206.548 55.0387 1
587.889 55.6411 2
252.186 58.7014 15
463.216 61.2527 5
130.114 60.4444 12
159.062 61.956 14
225.119 59.2283 17
344.724 61.0719 8
373.165 60.0894 8
294.487 62.439 4
423.884 60.5274 16
499.154 61.5559 7
580.717 62.5822 1
328.93 59.4764 17
476.734 63.7131 12
592.757 64.4901 1
458.427 69.1194 21
298.272 70.4344 6
565.518 71.7708 2
279.684 73.0216 22
402.514 73.4005 2
372.3 73.441 7
333.116 75.4 7
163.665 77.0461 9
292.682 79.4205 14
338.779 79.574 1
32.9007 79.9538 5
368.146 80.6012 8
509.526 82.7612 18
585.487 82.3356 1
400.221 84.0502 2
46.4314 84.6312 8
277.816 81.7837 13
186.243 86.3692 17
252.908 85.6278 11
386.778 88.1859 13
209.865 84.0576 6
260.655 90.2008 12
292.347 89.4742 1
412.278 87.6464 21
479.048 90.8431 1
515.883 91.1798 1
280.667 93.4546 11
572.008 96.9889 7
205.241 99.918 1
517.595 99.0081 10
367.73 102.443 24
246.632 104.334 5
545.201 107.524 9
556.42 108.395 10
567.147 108.281 8
261.559 109.5 3
331.508 112.733 13
426.743 109.681 11
515.614 109.879 23
586.701 110.626 1
356.753 110.957 12
574.127 111.335 7
499.223 112.461 1
506.408 109.821 8
214.175 116.687 31
326.283 117.456 34
535.424 121.017 6
550.467 120.088 6
226.012 121.402 2
466.107 122.612 4
475.477 121.47 11
559.615 122.488 1
509.434 125.083 3
317.533 126.263 2
294.053 127.807 1
589.787 129.011 1
516.85 138.516 4
570.418 139.493 4
338.582 139.735 1
404.316 140.778 15
376.589 141.739 21
580.556 146.268 1
139.646 146.673 3
99.8566 146.489 27
98.3972 148.967 1
127.493 149.856 15
87.464 148.695 13
227.565 148.863 27
492.891 150.01 6
423.67 153.919 25
80.1827 155.516 19
388.964 154.811 33
405.976 156.877 1
126.444 152.243 25
243.949 156.87 34
268.935 158.237 2
70.9161 158.722 3
460.403 160.421 33
446.792 161.217 6
335.596 161.087 12
387.4 165.288 3
66.9135 164.246 2
89.4251 163.556 11
474.813 162.027 55
297.528 167.438 4
480.678 166.734 22
456.405 168.124 23
61.5198 169.719 7
138.095 176.037 41
141.827 169.593 3
510.207 169.345 35
290.561 170.234 40
512.124 171.732 5
134.603 176.245 5
309.338 175.452 14
451.633 172.714 2
77.2368 175.337 5
290.418 173.714 11
473.823 176.005 19
110.11 181.916 4
264.667 178.698 28
273.969 178.858 11
524.528 178.252 33
58.6261 179.209 7
139.462 177.287 13
477.569 179.831 4
145.138 179.568 9
266.725 180.754 4
447.664 180.214 31
533.586 180.984 22
116.021 181.67 14
106.453 184.831 12
52.109 190.728 14
98.4275 187.351 8
133.12 188.294 6
300.386 189.354 23
472.549 192.794 24
82.6626 191.774 7
532.137 194.628 11
292.267 194.057 2
301.777 193.771 1
52.2145 196.976 3
270.047 198.644 1
281.578 197.706 42
70.9 200.127 1
484.812 198.257 11
274.378 201.92 2
463.002 200.807 31
289.204 202.63 1
475.94 203.929 20
264.446 204.879 23
56.0832 206.486 1
533.724 206.704 20
65.0043 206.648 20
100.514 210.499 4
152.96 212.371 26
433.719 214.426 10
465.505 212.295 27
485.111 216.348 13
259.935 219.766 11
320.52 218.468 1
332.83 216.123 33
523.473 220.27 9
588.004 220.669 2
274.147 222.825 14
157.288 226.879 10
437.244 225.62 12
70.0361 227.983 12
143.841 225.417 45
146.358 227.678 2
310.059 229.225 25
501.846 231.392 11
242.689 233.952 3
91.3416 235.518 8
517.772 235.943 17
296.449 231.428 21
441.878 233.882 15
482.78 236.279 1
290.612 236.661 7
281.511 235.064 19
261.203 235.493 14
139.744 243.543 13
525.599 241.264 3
72.5933 245.362 15
436.436 243.842 13
474.837 243.308 33
533.861 240.309 19
331.622 244.719 23
502.234 245.879 19
98.3555 248.368 14
157.226 249.499 4
116.785 252.225 5
306.338 251.505 7
434.611 254.916 26
76.3159 251.346 12
72.9022 253.942 6
144.916 255.064 6
247.503 260.6 16
146.415 263.035 6
264.483 259.245 26
575.061 259.708 3
67.7001 261.685 7
512.834 261.686 30
498.809 262.826 10
301.311 263.88 3
326.567 264.611 7
52.7524 263.019 4
93.0742 267.927 15
588.084 268.766 1
66.1406 270.213 11
430.341 268.581 20
449.431 266.866 19
512.638 271.667 18
538.411 271.441 13
443.215 272.496 2
446.222 273.905 15
513.963 273.423 2
560.213 271.072 18
145.615 276.426 22
572.163 274.51 1
273.724 278.175 10
438.264 279.045 1
512.501 280.226 6
496.818 280.815 8
447.583 283.565 14
529.235 288.099 10
71.8466 289.268 11
130.214 287.999 18
114.941 292.675 23
551.42 287.452 7
473.175 292.367 6
130.983 294.294 2
167.365 292.671 3
137.725 295.295 7
319.937 294.946 1
445.679 295.976 10
570.818 294.89 1
559.237 296.501 3
580.821 295.963 3
106.358 296.097 10
99.4299 294.273 25
328.431 301.325 11
444.543 301.096 4
518.481 297.22 8
63.2435 299.93 3
502.125 302.307 6
31.9696 302.351 6
85.462 299.572 21
477.11 308.453 26
121.182 309.435 29
98.1126 312.2 10
441.222 310.552 15
593.326 310.996 1
325.348 311.443 11
519.444 312.828 19
68.9891 314.486 8
340.377 314.618 18
584.572 317.113 1
87.226 318.068 17
352.855 319.811 4
41.9772 322.041 12
286.025 323.346 2
516.816 322.081 35
517.648 328.192 8
115.991 325.622 11
477.783 325.564 31
502.086 324.997 28
502.445 327.257 11
443.139 329.108 3
516.868 331.269 5
551.162 331.71 2
313.491 334.956 14
492.696 339.875 43
560.75 334.959 3
465.6 332.119 49
445.709 336.771 2
518.302 339.811 3
464.878 343.44 4
486.486 342.637 10
569.804 344.798 1
105.823 348.698 12
306.172 343.508 36
468.38 348.524 11
567.011 349.18 3
450.201 350.614 22
510.792 351.945 12
479.033 355.894 29
586.048 358.288 2
447.274 359.632 8
501.835 359.621 4
560.837 363.428 18
458.418 366.12 1
515.89 364.103 15
575.352 367.363 3
466.772 370.384 1
475.365 375.541 35
