1542 4821
237.379 8.86599 1
210.408 18.2795 1
338.154 17.9037 2
198.861 24.6319 4
177.102 35.9635 3
166.48 41.9012 10
283.55 50.5575 13
479.338 51.2712 2
125.747 54.6251 3
486.389 52.8816 7
442.85 53.4842 10
551.766 56.4636 1
134.036 61.1744 27
554.953 68.7498 4
122.04 70.5791 7
258.995 70.3063 1
244.551 82.1677 1
103.738 83.1564 2
223.948 97.4405 16
222.175 101.4 3
53.4622 118.1 5
202.23 119.953 9
393.866 121.826 7
193.931 128.143 2
183.503 135.122 15
397.319 139.512 8
171.705 144.815 22
491.265 146.897 8
393.764 151.06 24
132.535 150.511 23
167.281 152.564 8
326.593 156.758 47
500.26 165.597 3
375.74 173.402 44
357.286 178.694 24
312.703 177.021 37
326.139 179.267 4
335.993 177.901 4
354.537 178.234 4
6.8619 185.549 1
7.21195 194.056 1
534.161 193.812 12
524.356 239.762 12
525.934 258.446 3
525.734 267.084 3
523.286 285.25 11
527.664 336.548 6
123.832 433.967 21
120.673 464.669 16
370.472 462.159 14
374.087 473.172 7
16.2966 474 1
22.3889 472.763 5
361.932 474.671 3
54.5904 474.094 21
58.8005 476.225 9
371.961 475.329 22
69.4704 477.626 25
74.9871 477.647 7
83.0669 477.643 4
91.0409 479.548 10
26.0832 495.715 1
91.6721 496.768 2
135.75 509.874 15
139.52 514.38 1
108.637 517.889 13
116.596 522.576 5
146.811 527.227 2
119.532 536.591 18
113.794 542.423 2
103.013 545.35 23
93.2008 548.844 8
71.821 560.135 6
57.7452 562.76 14
40.5237 565.836 4
32.3437 569.889 5
14.0772 582.21 3
8.59104 582.946 1
209.464 7.15345 1
180.765 8.89126 1
163.512 11.0405 1
39.8181 18.0722 1
120.728 19.9693 1
519.13 22.1467 1
534.891 22.0089 1
562.464 22.7484 1
468.283 24.2618 1
207.742 25.7769 4
438.723 26.4639 1
117.603 31.4432 13
281.944 31.317 3
396.335 32.7774 3
386.519 35.4473 3
127.386 36.479 2
283.136 44.1053 3
86.4069 44.2459 1
478.648 44.4493 9
489.201 44.8743 4
366.334 44.9234 2
534.455 46.7372 8
86.6235 50.8686 4
355.181 53.1747 3
449.209 53.1114 1
404.503 54.3149 9
415.846 53.87 13
255.725 56.4666 2
535.16 55.8482 4
482.083 58.3559 26
393.463 62.5608 26
346.109 63.1725 4
63.5559 58.9807 8
537.019 66.6832 8
380.171 67.9397 2
561.196 67.8625 1
544.843 73.5262 1
557.303 75.2743 1
231.722 77.7816 5
557.371 83.5219 1
219.084 109.517 44
368.318 108.658 13
383.478 108.47 6
210.001 116.353 26
186.685 118.482 1
292.16 120.76 1
499.445 124.145 17
332.145 125.102 9
160.924 126.201 1
287.711 126.407 1
323.787 133.591 3
363.78 133.564 43
29.9563 141.114 1
277.948 140.985 1
323.948 140.75 1
408.443 147.13 13
328.512 151.672 23
402.827 153.327 49
132.359 158.701 4
313.293 158.06 3
407.632 161.393 12
501.461 161.41 3
403.083 164.605 7
318.081 169.537 10
327.866 168.843 2
543.819 171.382 9
308.515 177.197 16
409.967 180.274 4
379.846 182.023 3
562.071 187.756 1
10.8368 188.647 1
77.3183 193.765 4
557.563 198.705 1
525.407 202.611 15
538.299 201.881 10
448.091 202.14 2
360.822 204.402 2
339.12 205.274 1
531.188 209.35 4
401.938 235.312 2
55.2721 283.186 5
9.1777 289.122 1
529.799 323.009 13
553.722 329.55 1
509.614 331.01 3
537.279 333.069 4
490.831 333.37 1
20.3893 334.827 1
457.838 337.31 5
387.316 344.38 4
14.8325 348.456 2
26.656 349.078 1
161.772 356.745 25
148.084 355.942 5
159.45 356.328 9
362.671 357.334 1
166.263 362.784 4
149.714 369.194 22
500.48 398.474 11
390.022 408.432 3
300.02 419.591 2
388.964 419.748 2
131.061 427.406 19
486.115 421.635 11
119.15 427.703 2
561.831 450.912 1
541.027 454.11 2
392.815 459.541 24
510.917 458.875 7
497.529 459.525 1
474.983 462.047 4
101.09 464.081 3
445.812 464.112 2
434.647 465.068 2
375.528 469.689 33
371.933 471.082 11
417.208 467.954 2
382.391 476.703 8
12.3218 478.076 1
19.8464 478.921 1
31.3067 480.758 7
51.1587 481.183 3
61.5026 483.135 12
78.9188 484.281 5
85.9061 483.351 3
44.4882 487.621 5
71.6694 492.868 11
96.9969 494.288 8
93.8207 503.563 45
37.721 502.713 1
123.347 509.178 26
33.4469 508.65 2
232.359 519.566 6
138.751 520.167 26
147.721 520.863 1
96.9568 522.006 10
66.688 524.307 1
111.349 527.191 9
138.63 527.062 1
24.3205 529.468 1
16.0617 531.189 1
52.2478 544.231 2
73.4282 543.771 10
121.165 545.158 9
81.7508 553.097 18
114.025 550.23 14
105.223 551.587 9
96.7203 557.189 11
32.8409 561.129 1
83.5849 562.148 6
20.0008 566.277 2
18.8898 577.146 1
5.69986 578.152 1
10.0429 588.002 1
300.982 32.8586 11
257.96 36.5441 3
157.939 133.625 9
501.521 172.596 25
46.2686 295.551 4
543.299 336.034 6
414.555 389.09 1
253.219 403.216 8
489.014 460.168 5
457.736 462.951 3
220.949 14.4054 1
286.458 24.2684 1
192.915 27.0275 5
152.741 51.0003 7
495.956 59.6599 11
528.961 63.3801 8
420.906 84.5576 1
86.9494 94.1216 11
224.509 99.8304 1
63.8182 110.437 9
491.741 134.331 6
173.488 147.86 2
492.409 152.196 3
394.495 152.648 1
502.496 152.072 14
157.349 163.664 10
393.767 162.984 1
497.369 163.656 1
536.708 193.636 1
151.191 371.687 1
140.467 383.211 9
125.505 436.818 1
538.906 447.032 3
497.519 451.001 14
377.483 459.746 19
120.349 469.807 6
89.4597 511.319 19
84.4246 552.754 3
24.1732 569.557 1
23.2141 12.1949 1
170.434 14.4056 1
209.63 28.1811 1
14.42 36.5243 1
298.179 35.3306 1
130.614 41.9271 2
439.569 50.4912 11
355.715 58.3991 2
254.043 61.4594 1
393.998 63.3544 2
506.138 64.1514 1
274.142 65.9136 6
540.683 67.552 1
217.415 70.8141 4
488.469 70.4371 2
232.636 79.8627 4
546.939 78.8509 1
327.894 86.5089 5
417.591 92.5326 15
422.307 103.756 4
370.264 110.349 4
214.909 115.165 6
67.7101 118.967 1
499.421 132.646 10
162.22 131.495 2
366.075 133.745 2
11.7363 148.198 1
172.495 159.421 6
338.154 164.825 3
412.116 162.996 13
546.435 174.613 2
311.183 174.283 2
409.531 187.006 6
506.447 184.099 1
129.814 187.674 1
520.629 203.728 4
543.014 203.108 1
416.025 239.571 5
542.241 245.231 3
58.4354 283.775 2
50.0556 295.511 2
156.705 296.126 15
513.305 322.725 2
113.912 327.947 5
518.04 334.778 8
100.927 347.709 3
462.653 356.518 23
46.1899 362.338 1
78.6887 384.666 3
16.7321 386.107 2
414.971 392.791 1
85.4223 400.582 2
499.569 400.999 7
540.575 408.44 5
134.201 423.72 9
490.089 423.452 4
112.862 435.496 6
134.23 442.767 4
394.183 456.24 4
544.012 457.636 1
424.806 470.166 7
373.946 472.422 5
21.508 482.542 1
382.039 483.362 1
54.3816 487.775 1
88.5864 488.133 24
97.8428 502.97 9
210.2 506.217 6
130.479 528.595 3
116.076 550.941 1
24.2793 580.556 1
386.587 154.598 6
413.732 258.798 22
260.362 265.888 13
31.6511 407.081 2
396.638 410.452 21
445.692 419.914 3
96.6455 478.537 5
115.348 74.4999 9
58.0329 113.91 5
312.552 150.826 3
164.322 156.021 1
488.056 159.381 2
107.761 184.219 1
25.6893 190.352 1
37.0311 296.262 1
458.783 327.381 6
409.907 378.22 12
119.128 419.485 11
380.467 454.947 2
432.718 458.203 5
116.107 539.816 1
62.8672 560.88 3
61.0388 25.7849 1
225.348 30.0057 1
300.485 43.1118 1
398.509 68.176 1
515.061 75.2704 1
250.756 86.3875 4
332.997 92.3404 1
221.977 112.501 1
427.778 118.909 2
176.365 122.082 1
373.638 136.608 3
426.689 147.115 1
523.82 147.71 1
271.428 181.158 2
523.112 182.917 1
396.255 189.798 2
340.114 193.91 1
56.7672 206.531 1
516.402 211.66 1
482.336 248.756 1
419.211 268.231 5
259.896 272.365 5
63.4063 290.969 1
159.654 302.777 4
258.538 336.203 1
205.172 343.661 5
112.617 345.694 1
464.546 366.441 7
166.695 381.929 1
90.261 382.258 2
403.894 408.558 1
33.3461 412.403 1
449.268 423.368 12
139.673 427.017 2
403.968 455.38 3
435.179 481.077 1
399.261 489.237 1
60.4213 497.562 1
78.1345 497.919 4
108.5 507.211 3
108.674 563.313 1
517.349 80.018 1
322.164 337.973 2
154.192 48.6271 1
59.6879 111.844 1
161.417 159.285 6
39.2844 183.635 1
184.882 271.18 1
39.043 285.777 1
251.755 314.338 1
111.303 426.713 1
426.023 462.536 2
79.1787 37.5597 1
522.525 42.1574 1
226.634 47.9956 1
381.021 48.4168 1
246.991 107.35 1
389.28 143.377 3
288.857 179.642 1
451.286 190.092 1
167.539 196.702 1
384.89 199.725 2
73.5646 222.979 1
307.237 244.268 1
485.841 250.698 1
282.109 286.38 1
159.375 322.464 1
126.506 354.425 1
212.41 355.331 1
337.164 348.855 2
424.376 409.334 1
134.524 484.136 1
442.327 502.321 1
352.276 97.5183 1
346.382 368.877 1
185.112 419.043 2
167.259 492.672 1
149.926 190.443 1
189.172 29.5189 3
503.798 172.643 1
28.3512 473.595 5
128.328 503.232 6
102.082 513.853 10
63.4424 560.767 2
452.296 45.0152 3
250.954 60.4769 5
221.1 85.7864 1
399.013 129.975 26
333.869 161.619 4
319.685 183.844 4
154.456 294.628 1
535.869 315.468 1
80.7984 399.913 9
538.109 404.245 1
220.706 412.314 2
130.281 440.458 4
275.072 467.536 1
29.3237 555.337 1
254.527 263.006 9
74.1077 385.227 4
114.882 433.059 1
170.984 149.635 1
392.46 159.931 5
159.777 160.333 1
493.604 158.652 13
124.289 441.409 1
506.586 67.4689 1
269.668 71.6501 1
487.759 74.8269 1
236.814 83.0713 1
205.113 93.9452 2
422.624 108.342 1
500.213 133.412 2
194.173 136.209 15
512.308 141.03 1
170.597 164.811 2
262.257 181.085 8
406.131 188.603 9
505.467 188.311 1
328.992 190.172 3
57.6208 286.958 1
248.25 332.72 1
45.4206 365.93 1
160.5 377.184 5
467.741 394.518 2
84.4102 403.547 2
422.321 418.802 2
131.589 452.293 1
51.0677 492.865 4
303.729 496.485 2
132.405 532.644 3
171.335 121.386 6
