3164 15360
131.97 11.8162 1
9.20501 22.5748 1
53.685 23.1881 2
44.2156 24.4887 3
93.9075 25.5527 5
120.023 39.2591 3
14.0507 39.9147 1
156.509 41.1376 12
44.6765 50.1418 11
181.294 56.5095 1
120.185 54.8357 3
156.557 57.9835 28
158.72 59.257 1
94.4522 56.5408 24
130.793 59.0198 23
181.22 63.1218 20
66.2049 66.3806 2
137.627 67.004 8
54.6228 70.4047 5
50.5646 72.4044 5
133.334 72.3865 7
125.557 76.7415 3
37.2343 78.6568 2
150.566 78.724 13
26.0147 81.1405 8
187.909 83.1254 6
18.1461 85.4019 3
11.1998 91.5873 1
186.955 96.9679 23
76.5788 102.563 1
70.608 103.429 1
131.791 113.421 6
186.325 116.187 21
382.141 127.923 21
412.127 129.855 34
356.484 140.649 42
470.777 144.946 20
445.845 150.336 11
481.705 152.521 1
436.016 160.265 48
475.457 158.706 31
434.24 168.364 17
152.616 167.982 7
160.657 168.761 5
183.619 169.571 1
193.284 169.806 7
53.1769 172.877 5
474.213 171.521 14
220.789 174.586 1
228.764 173.392 12
436.637 174.183 7
535.827 174.951 42
256.891 178.195 16
272.499 179.872 9
107.615 181.768 1
282.762 181.634 15
417.371 181.693 3
57.6296 182.936 1
289.889 181.559 4
303.497 182.64 11
183.867 183.549 9
316.235 185.833 7
88.1328 186.37 9
145.749 189.23 15
324.49 186.243 9
408.262 188.859 14
280.183 192.223 2
232.994 189.266 10
364.846 191.738 21
261.479 195.737 8
396.93 195.527 23
443.942 195.726 2
398.528 196.24 4
288.375 197.601 6
406.541 198.843 1
433.835 198.929 14
459.067 202.237 24
485.13 209.513 2
224.776 208.419 45
389.215 211.785 12
516.815 211.883 30
374.379 212.963 32
576.129 217.65 26
582.018 218.922 13
589.112 219.996 6
354.019 222.27 18
331.519 224.124 13
268.179 225.91 2
411.908 228.311 25
286.409 227.359 3
537.778 228.84 8
675.14 230.756 11
368.211 234.992 4
534.436 235.004 9
707.084 234.18 6
477.137 233.811 32
719.8 235.889 16
342.916 236.765 12
728.304 235.124 14
356.367 241.958 22
415.514 240.342 13
531.482 240.473 4
561.798 242.613 2
330.564 242.342 38
442.921 242.982 29
596.72 243.289 8
651.273 244.378 12
378.002 245.704 10
552.697 246.378 11
571.092 246.77 9
337.111 246.24 28
366.599 246.942 26
319.115 245.801 9
678.54 248.846 5
416.957 250.096 1
588.435 251.073 17
728.122 250.647 1
430.347 251.494 6
659.58 254.153 2
442.914 256.69 12
736.71 256.923 6
372.661 257.743 3
425.015 258.63 48
333.084 256.425 5
694.356 258.82 2
767.112 259.677 8
392.927 255.733 19
436.527 266.805 20
671.476 262.845 1
342.761 264.439 23
444.693 268.12 11
425.819 270.094 9
713.116 270.836 1
771.497 269.954 8
360.914 268.56 19
444.018 273.757 8
781.773 272.045 2
182.228 271.627 23
787.912 272.879 1
493.85 275.94 33
736.351 274.055 2
207.209 275.698 4
410.697 275.479 17
451.587 274.94 17
402.441 278.045 24
411.176 282.51 11
492.421 282.025 25
469.808 284.312 15
436.797 286.045 29
478.142 281.83 26
548.076 287.824 27
229.741 288.34 10
53.159 290.995 10
63.427 294.846 20
118.958 296.957 4
216.812 298.632 4
222.747 294.348 18
40.8833 300.01 3
53.869 303.743 1
291.54 303.698 2
233.297 300.493 23
16.2532 305.732 1
108.81 306.596 12
124.282 306.075 25
518.283 309.25 9
214.09 308.736 16
552.871 311.091 14
417.286 312.986 13
572.451 315.818 8
519.922 317.417 6
240.758 315.834 26
123.413 320.667 18
434.892 323.028 1
117.597 325.386 4
128.249 325.831 5
227.582 326.953 10
782.632 330.005 2
791.098 330.525 1
147.709 333.036 1
542.574 334.255 38
550.467 333.14 7
554.794 334.325 7
624.002 334.164 9
404.911 335.433 7
49.9459 337.194 6
672.875 338.004 6
777.63 340.198 2
319.192 340.024 19
584.06 340.126 26
784.394 341.715 2
199.995 343.167 2
338.865 342.549 5
654.823 343.482 41
662.514 345.544 5
186.29 351.041 1
191.065 348.641 18
212.98 351.761 2
315.375 351.133 5
335.822 358.319 12
210.973 359.194 26
305.65 359.351 10
219.044 361.472 7
391.469 363.2 1
449.731 364.726 3
614.234 365.17 10
624.088 369.466 6
638.272 371.1 30
642.725 372.445 8
651.602 374.379 11
601.75 380.125 6
665.692 387.654 13
588.638 390.799 14
626.992 391.615 12
464.033 395.167 2
576.673 394.306 8
567.241 395.936 22
556.229 398.004 16
666.807 398.969 9
656.983 402.508 1
320.73 405.983 1
170.532 407.044 1
332.223 406.604 3
180.357 408.216 2
67.544 410.808 6
74.3285 409.689 3
487.954 410.329 12
50.7984 412.681 1
429.487 412.185 11
461.996 414.167 1
453.202 415.368 13
41.4825 419.693 1
60.652 419.803 1
651.268 419.415 6
422.109 421.373 4
446.546 422.71 3
564.911 422.708 3
493.891 423.493 7
533.811 424.932 5
438.703 426.534 3
566.462 427.467 2
486.954 429.348 1
507.166 429.208 1
397.181 428.854 6
566.557 431.948 1
453.396 436.951 1
459.72 439.716 1
52.848 440.533 1
792.814 441.11 1
467.868 442.927 1
124.083 6.26649 1
356.514 8.17636 1
369.281 8.101 1
87.196 11.2721 1
384.855 13.9061 1
5.21503 14.5194 1
355.147 15.0053 1
136.94 16.2164 1
19.1943 17.3574 2
98.8047 20.0094 1
18.3252 24.0785 1
58.4524 24.1372 1
354.892 23.7896 1
87.4241 24.9984 1
168.526 24.9468 1
5.75578 27.4318 1
124.406 28.0373 1
137.659 28.271 1
12.8043 28.6312 1
40.1809 29.369 1
52.764 33.8233 10
383.147 31.8585 3
18.6731 32.8603 1
137.381 34.7189 2
5.50991 34.7745 1
58.6089 36.4361 1
89.1509 41.1934 2
138.735 40.8274 1
59.6571 41.8222 2
125.577 41.6247 2
6.00467 43.6462 1
164.465 45.7982 24
154.451 48.0481 1
50.556 48.9677 2
14.1652 51.2738 2
20.5645 50.2122 2
99.8271 50.8959 1
77.2917 51.6963 14
142.302 56.3694 7
8.40904 56.1509 1
32.935 57.313 6
53.8143 56.6003 11
74.2054 61.1303 17
164.798 60.3702 14
67.822 62.5132 8
180.341 63.2335 6
148.41 63.5478 2
92.4652 63.8508 5
100.111 65.3678 4
127.913 66.4429 9
193.279 65.3071 22
83.6038 66.9672 7
16.0804 66.9066 2
179.109 69.2844 4
37.3122 71.8839 12
70.2162 70.5899 3
225.252 70.9006 7
20.7076 72.1685 1
141.808 73.304 1
135.778 78.9305 4
46.7169 80.1265 11
193.446 79.338 2
124.419 87.5232 39
7.53947 85.7537 1
30.4516 86.8788 6
193 86.6921 2
113.223 89.3301 6
149.006 91.2204 4
160.763 90.3729 1
17.4667 91.666 1
128.269 95.7495 15
10.4329 96.8098 1
152.416 98.4226 3
95.9646 102.041 28
85.9104 99.9842 1
192.385 99.8812 1
81.4203 104.7 19
353.173 107.59 14
271.392 110.481 1
329.935 111.398 7
101.609 110.975 1
385.35 110.253 7
79.2204 112.303 8
95.2786 111.829 2
409.221 111.147 5
272.024 115.628 4
320.404 114.475 1
345.252 115.864 2
413.393 115.455 4
605.2 117.738 7
726.75 120.018 4
427.838 119.808 7
420.286 121.221 28
196.191 121.227 30
380.104 120.368 2
392.117 118.27 4
481.87 119.916 1
358.917 121.249 8
678.941 121.245 2
380.602 124.33 8
365.287 131.255 2
613.556 132.047 3
417.396 132.842 8
732.815 135.043 3
194.148 139.932 7
364.953 140.649 1
363.817 148.221 4
306.342 150.859 14
241.367 152.929 2
357.916 155.436 5
300.944 158.131 15
79.0269 160.801 5
89.8069 157.942 7
271.669 157.61 2
488.536 158.07 28
446.544 160.982 17
71.2981 161.576 5
399.921 164.269 25
161.807 161.85 4
312.026 162.44 11
61.6125 162.831 3
54.4443 164.364 5
103.908 165.15 17
44.284 164.668 5
332.401 165.411 8
35.2337 166.851 4
343.993 167.098 8
481.426 166.807 1
127.666 172.696 28
347.444 167.414 2
443.322 169.17 26
21.7687 168.892 1
11.068 170.21 1
264.826 169.871 12
270.773 170.481 7
367.408 170.828 12
143.072 171.771 12
252.876 171.639 1
382.344 173.202 10
385.481 171.877 3
101.968 174.303 18
154.444 175.046 13
173.279 177.502 43
179.191 174.448 5
399.592 177.792 23
413.718 176.357 14
113.726 172.893 19
62.143 178.291 22
124.834 175.878 37
747.856 176.718 8
82.3079 177.209 26
453.613 178.483 16
135.338 180.139 9
427.543 178.2 4
549.189 178.985 3
236.051 182.724 38
22.5244 180.918 2
585.093 180.872 6
593.356 183.409 32
119.231 183.325 13
251.027 184.646 7
262.381 184.544 5
457.552 185.626 4
520.059 184.587 5
434.285 187.319 5
498.829 185.369 1
508.813 184.637 2
527.601 179.295 14
72.5389 185.648 1
490.766 187.327 15
621.817 187.688 15
59.4408 187.247 3
150.571 186.605 6
414.298 188.517 3
536.035 187.242 5
99.187 187.782 13
291.949 190.792 24
7.38544 189.036 1
161.825 190.322 19
560.905 190.87 6
422.22 189.319 41
140.736 191.26 7
201.089 192.385 22
206.954 191.746 39
152.582 192.593 2
413.647 193.442 1
340.119 195.586 13
594.82 196.481 6
146.271 195.372 4
181.208 197.111 21
223.844 196.338 10
601.442 195.844 2
279.415 196.776 5
359.543 198.474 8
433.859 197.336 9
261.384 198.197 5
213.573 200.53 13
205.58 199.947 6
297.756 199.567 2
392.809 201.838 9
772.785 201.686 1
35.3085 203.134 8
245.956 203.742 8
290.044 203.488 32
403.532 203.223 4
224.756 204.507 4
299.034 206.012 3
