6381 38360
745.921 5.89703 1
784.249 6.03445 1
713.333 7.00051 1
190.047 11.4593 1
222.003 13.1753 1
393.074 13.8103 1
742.968 14.1704 1
527.55 15.1481 2
715.76 14.6127 2
144.031 16.2081 1
382.426 15.747 1
198.21 16.8392 2
423.228 17.4502 1
164.883 17.5312 1
237.692 18.0108 1
256.504 17.1448 3
777.587 19.2999 1
356.774 18.408 4
730.228 19.8987 1
713.952 22.9984 2
252.177 24.8618 3
722.497 26.3073 3
243.32 26.509 3
709.509 27.0167 5
777.989 28.0844 1
664.839 29.9371 3
693.953 30.3581 2
429.109 31.5229 4
736.577 28.86 9
714.105 32.249 5
775.121 31.5969 1
601.65 33.9751 1
24.828 35.3549 1
131.812 33.8332 12
413.025 35.8262 3
721.871 34.364 3
661.009 36.8834 4
682.897 37.9668 15
746.172 39.1187 5
469.831 43.2316 2
69.4391 46.6196 15
724.341 43.4921 15
602.329 44.4986 7
221.445 47.6939 3
616.29 48.6823 1
202.423 48.7672 8
653.92 50.7669 18
619.025 52.4861 1
628.422 50.5613 7
189.076 52.6526 3
171.385 51.7566 28
737.944 53.5856 2
626.627 52.0957 15
782.113 54.6926 2
753.987 50.4136 8
592.409 55.5714 12
635.633 60.9322 6
693.033 56.2295 13
792.226 57.637 1
435.872 59.0219 1
764.601 58.8776 5
619.096 59.8853 13
659.462 60.6342 7
718.374 60.8662 1
768.571 61.094 2
294.146 61.9793 10
666.247 60.8875 13
573.102 62.7715 8
606.507 62.5862 19
611.102 65.5377 1
741.468 66.1484 6
7.52224 66.9693 1
617.519 66.8787 3
436.44 69.5838 5
566.385 67.4565 20
678.632 71.6494 2
734.042 69.5103 6
748.91 70.9677 3
68.1275 71.0282 16
632.63 70.6581 11
644.73 71.2458 22
707.999 74.7513 7
61.173 76.0632 7
583.518 76.4708 10
558.657 77.6802 18
758.071 78.291 8
553.829 79.0096 11
587.238 79.183 7
590.926 80.1512 1
610.448 80.0604 17
634.511 82.4697 5
577.147 83.4242 2
735.121 82.5876 3
464.184 82.3515 18
638.409 86.7069 6
24.3121 83.3523 5
12.887 86.3363 1
453.882 83.7941 24
526.401 84.7868 5
