4208 20346
102.124 4.6137 1
562.648 4.79541 1
190.819 6.00726 1
16.7997 7.05376 2
25.5843 7.41039 1
8.31071 7.54729 1
121.852 7.55551 1
372.472 13.4467 1
193.512 13.8762 2
60.5703 14.8209 1
32.2703 15.7452 1
89.749 15.9439 2
245.367 16.7398 1
278.315 18.9433 2
60.8676 20.2171 1
590.563 19.7157 1
73.1785 21.2164 2
328.574 21.6217 2
17.5679 24.9897 1
25.3937 24.9993 1
121.73 25.163 1
362.804 24.5087 3
191.245 24.5597 9
448.712 28.6523 6
21.3177 33.9106 1
32.978 31.5099 3
87.113 32.3901 10
561.705 35.8836 6
567.845 36.2289 3
579.2 36.0979 3
591.461 37.8393 1
73.6298 36.8824 3
61.3129 39.6398 2
117.985 40.6342 8
17.0875 43.0088 1
184.697 41.003 12
144.193 43.3158 13
245.754 44.698 6
180.994 46.2508 3
556.776 48.2398 4
278.526 48.4582 2
563.873 48.65 3
22.5616 51.7311 1
143.491 55.0894 18
61.6277 55.3214 2
69.8418 55.3246 4
127.771 55.8892 2
441.642 56.6892 4
446.528 57.5925 15
36.2235 57.0593 9
145.148 59.8986 2
154.469 60.1054 2
163.746 58.4892 9
16.2045 60.6783 1
189.851 62.0858 4
561.759 65.7452 8
191.144 66.0705 22
61.2859 68.869 4
143.012 69.975 28
578.432 67.5511 2
590.744 67.9641 1
17.6405 68.8084 1
86.3434 66.7191 7
414.014 64.5397 23
370.577 69.9202 7
69.0471 72.1757 16
126.305 72.7711 4
61.6497 74.9741 2
144.936 72.9781 3
154.949 75.3242 2
187.015 74.6713 1
245.185 74.1706 6
17.4612 78.4077 2
27.1957 77.6836 1
556.413 78.6074 4
329.227 80.4207 3
391.662 84.8553 13
167.526 85.8681 9
192.144 87.423 10
442.175 87.4764 4
447.159 87.6367 15
59.5775 95.0475 9
194.664 92.2011 10
547.112 91.6237 1
12.4926 92.4762 1
119.894 91.328 11
86.7989 95.7421 2
166.222 97.6211 9
561.375 96.1889 7
569.985 97.1208 3
577.744 97.6108 4
59.5764 97.6722 5
194.19 98.5296 1
167.941 103.85 3
245.443 104.386 2
128.032 107.354 2
68.4085 107.985 21
30.7048 109.37 1
555.961 105.865 6
328.243 108.347 3
575.76 110.224 2
591.213 111.206 1
362.341 112.504 4
167.995 112.804 7
446.387 115.274 21
193.23 113.315 13
413.802 116.595 2
179.037 117.286 6
272.177 118.139 2
162.794 118.888 12
186.819 119.139 5
420.998 119.161 2
448.111 118.376 3
139.452 120.852 19
38.8629 120.864 1
137.804 128.368 11
560.915 126.781 8
578.332 127.073 4
416.876 128.558 1
590.374 129.038 1
61.8691 128.652 9
124.897 129.255 13
192.676 130.476 16
145.805 135.159 21
59.5899 133.219 3
331.496 133.41 19
78.2341 134.205 4
307.452 133.186 20
346.293 135.74 13
351.558 132.353 33
357.282 135.221 16
10.1194 137.874 1
363.473 138.097 1
36.7532 139.188 5
192.193 138.575 13
394.489 136.979 55
386.916 142.28 9
583.921 140.954 1
176.204 141.213 13
280.038 139.654 3
152.811 146.768 14
499.23 143.362 7
99.4758 146.301 6
512.789 145.065 14
188.755 148.008 16
533.864 146.157 4
544.107 147.131 36
298.767 150.056 1
317.254 149.068 19
149.954 149.466 7
347.267 151.18 2
353.73 151.415 10
193.813 151.54 1
266.63 151.953 16
61.0262 151.145 11
371.821 152.78 8
379.479 152.904 5
262.06 154.572 3
410.692 154.533 9
21.3437 156.141 2
168.309 158.236 14
424.806 155.29 18
445.795 155.131 40
450.943 154.266 24
128.735 159.232 14
189.433 158.1 13
245.28 154.184 53
459.86 159.252 2
217.199 161.421 14
61.9724 161.609 3
180.779 160.18 12
237.025 160.669 24
489.507 162.007 3
95.2636 161.764 13
235.266 163.558 6
20.9948 163.879 4
333.681 166.955 1
61.6249 166.882 3
353.92 168.923 1
192.552 168.221 41
218.797 170.996 9
67.4368 170.898 8
166.241 172.423 1
501.958 172.571 24
38.5179 174.06 1
96.4806 172.396 13
154.869 173.502 12
139.187 174.357 22
58.1535 176.141 1
126.691 175.522 8
201.56 176.945 9
145.61 175.155 29
118.355 176.931 33
73.021 182.261 32
519.029 180.512 6
23.9352 181.476 2
180.57 185.743 1
476.504 188.909 7
172.958 188.126 3
54.0337 190.567 14
475.18 189.228 3
63.3984 190.358 9
166.521 191.247 8
71.4692 193.397 27
469.06 193.171 5
507.379 193.447 14
47.675 193.039 4
520.319 189.22 12
465.786 194.674 1
459.628 197.866 2
75.0193 199.154 1
143.622 200.255 17
131.276 205.41 3
497.488 205.295 4
34.7502 206.437 11
444.313 203.172 25
114.259 207.67 1
125.485 207.955 4
51.1364 206.912 14
5.3301 212.994 1
423.536 214.944 4
470.362 215.601 3
95.0847 219.377 22
413.304 219.117 4
39.5073 221.533 1
408.308 221.809 6
429.818 224.281 22
477.448 221.27 15
397.365 226.271 16
9.66011 230.071 1
387.033 229.958 30
63.5798 231.713 7
339.203 234.023 17
50.4967 237.064 9
89.7542 237.865 12
366.339 236.774 13
513.936 237.698 1
333.618 236.017 17
490.481 239.002 1
40.6862 241.239 9
323.641 242.246 11
15.7275 244.974 1
354.493 245.901 28
347.901 249.758 7
120.876 257.073 8
561.2 256.777 3
71.9602 263.323 13
89.3721 258.682 22
324.968 262.185 10
551.842 263.843 1
73.2352 266.222 6
91.7397 268.905 11
69.0946 267.322 3
307.122 270.994 26
131.348 274.278 7
51.8708 277.776 4
142.935 275.313 7
152.146 276.16 6
349.887 278.144 14
339.784 280.61 4
355.47 281.993 13
485.052 284.781 13
17.5787 285.454 1
52.9115 286.802 12
148.459 286.662 26
350.663 285.441 12
174.444 289.155 24
387.645 290.068 16
425.501 289.409 2
70.2089 288.66 11
480.05 289.054 24
196.873 291.149 12
229.405 293.273 40
507.387 293.36 5
79.9597 295.716 22
84.7201 297.353 6
91.7497 291.753 51
95.1853 297.329 9
122.197 294.836 37
176.215 296.42 24
202.584 296.985 24
211.709 297.052 8
243.178 296.98 14
262.09 296.818 20
333.475 293.55 10
345.702 296.755 21
356.694 295.192 34
373.262 297.627 2
383.04 295.492 46
405.336 298.314 1
410.801 298.28 8
465.369 297.283 24
148.261 298.192 40
156.585 297.87 5
231.731 298.828 18
322.555 297.065 16
452.969 301.983 15
53.7991 301.739 17
72.4448 299.047 7
55.7492 305.741 1
381.925 309.358 28
403.146 305.845 34
146.688 307.119 7
223.645 305.229 12
456.96 309.969 15
321.433 312.208 16
127.591 311.6 17
224.582 315.094 15
243.088 316.517 30
140.781 313.372 19
397.41 315.928 4
224.188 317.996 3
272.764 318.673 4
484.949 318.881 3
150.907 321.128 12
321.043 320.792 14
224.652 323.045 3
85.1303 328.319 17
243.371 323.946 32
353.245 329.374 68
227.245 328.926 2
467.475 328.181 7
483.223 328.289 12
322.295 330.253 16
85.73 331.956 1
227.219 333.832 1
141.749 330.677 42
146.623 334.016 11
86.0984 335.902 1
297.292 337.984 2
227.496 338.584 2
322.16 340.009 20
449.407 337.07 14
128.279 340.322 3
88.6496 343.912 10
353.12 344.234 43
227.512 345.499 4
399.025 343.917 2
119.693 344.989 14
354.849 346.667 1
91.3034 347.916 12
227.598 349.459 2
321.473 347.993 15
380.824 348.449 30
69.158 349.784 6
76.3587 352.036 4
144.515 350.583 8
227.765 354.292 4
58.9361 354.5 7
104.718 355.144 23
245.353 352.369 43
320.218 356.376 33
224.397 362.408 9
241.499 360.743 3
112.771 363.432 16
242.977 365.389 9
8.52695 365.689 1
186.858 365.89 11
323.705 366.596 25
74.8211 367.463 1
150.576 366.824 1
346.86 366.493 11
286.528 368.375 1
351.803 360.057 53
378.894 366.951 43
206.099 372.368 16
319.196 369.553 2
325.642 369.796 1
333.93 369.719 3
262.447 370.139 38
515.738 368.13 23
535.222 369.266 13
447.596 373.59 3
188.532 374.414 5
247.772 373.835 5
59.9006 375.717 1
335.079 375.995 9
233.792 376.496 8
190.333 379.88 10
208.763 381.07 30
220.607 378.478 9
565.33 377.336 14
571.207 380.973 2
582.232 381.588 2
93.4592 380.723 13
589.662 382.573 1
74.0342 379.568 25
206.23 384.214 12
323.343 384.747 5
199.017 385.312 10
190.514 389.936 26
433.859 387.165 5
312.968 385.992 12
127.832 389.378 35
308.097 391.257 16
541.8 393.851 24
136.759 393.011 12
194.195 397.508 3
294.943 398.618 3
36.8476 398.769 2
398.518 397.058 4
292.09 400.708 1
533.938 400.824 3
137.833 401.182 27
179.151 402.783 5
172.103 401.679 44
356.667 403.294 15
161.519 401.095 44
281.316 403.722 23
