4306 20364
461.205 21.3461 1
469.321 21.4729 1
506.549 27.0496 4
463.834 30.4531 11
399.592 34.0598 6
413.934 37.3399 1
381.594 37.7934 3
464.288 40.48 7
445.935 38.076 5
482.781 41.9456 8
382.917 48.4002 3
464.18 47.6963 2
239.846 50.3259 8
431.967 52.184 11
394.119 52.4166 13
258.354 57.1607 4
208.901 58.9274 8
340.138 59.8053 9
411.197 61.6006 26
326.758 64.2495 19
184.418 65.9128 16
411.118 64.3471 17
464.169 68.5196 1
213.113 67.241 14
323.509 68.842 11
426.121 74.029 18
203.575 74.0886 15
253.576 75.9972 2
377.542 74.8468 7
460.747 75.9521 1
369.146 76.7279 5
432.838 77.4064 1
443.979 79.3249 12
300.744 81.229 25
315.785 81.3418 3
458.115 80.4852 5
342.007 80.9342 10
356.114 81.7196 8
357.986 82.1776 3
267.871 83.7007 8
450.087 81.2414 19
181.685 83.3076 7
192.322 83.0372 6
333.26 83.3667 5
454.962 86.4484 2
321.789 85.0016 28
247.684 84.7651 13
311.619 88.6588 16
383.457 91.943 2
166.124 95.086 7
414.642 94.2214 14
339.34 95.1695 4
451.711 97.2723 1
307.887 96.3546 7
239.925 99.9881 6
359.301 99.0829 4
447.99 101.509 8
423.032 101.687 7
408.913 103.757 7
335.155 106.562 3
458.201 104.702 15
294.613 101.902 31
351.982 105.976 6
308.536 106.55 11
231.766 108.734 28
446.461 109.686 7
415.494 110.959 3
348.135 112.665 11
375.68 111.923 1
273.164 115.73 9
229.413 114.254 12
329.548 112.203 4
166.315 115.546 1
206.937 115.722 7
201.062 116.453 12
178.162 118.771 25
302.482 117.018 12
422.121 115.862 20
412.116 119.021 5
282.487 122.168 13
160.924 121.127 16
439.854 125.57 22
360.579 128.309 11
375.47 126.364 14
292.262 126.955 10
300.466 126.665 44
401.767 125.771 47
297.281 132.195 4
380.241 130.827 17
352.659 134.603 9
314.055 133.147 5
419.531 132.835 15
152.723 137.133 10
209.346 137.702 20
293.392 140.503 17
433.432 137.203 12
315.749 141.059 34
388.043 139.922 17
150.185 145.257 7
363.371 144.42 1
370.031 139.809 26
348.048 150.413 4
313.796 156.17 15
464.516 156.572 23
174.49 159.704 21
198.263 158.166 4
193.15 158.534 23
213.954 158.239 22
315.059 162.835 3
177.9 165.696 3
315.976 167.85 8
195.315 169.784 8
467.847 170.412 1
129.191 170.713 16
317.797 171.441 1
373.872 173.524 18
459.913 174.815 14
275.467 175.077 10
283.277 175.41 11
117.838 177.965 9
148.108 182.147 17
440.13 180.779 2
446.953 181.134 19
152.128 184.218 11
430.892 184.012 2
280.621 186.936 6
178.751 188.905 16
157.248 191.195 8
110.587 194.335 9
315.006 195.245 6
128.63 193.765 19
200.959 197.847 4
236.858 195.261 8
174.941 195.917 21
200.592 200.432 1
108.888 202.748 15
426.853 202.577 1
198.015 207.834 6
255.827 210.612 9
288.157 209.561 8
421.313 214.489 31
161.573 209.935 32
245.134 211.834 21
126.894 211.837 24
176.982 213.796 20
235.719 211.039 22
198.831 222.607 14
269.13 227.909 52
122.306 227.303 15
315.325 225.947 23
111.205 224.22 28
364.228 225.922 20
199.25 231.719 7
254.567 228.853 17
311.684 231.058 1
432.452 236.856 29
88.718 235.338 7
159.412 236.518 36
251.027 235.641 6
62.9228 239.975 2
90.2415 237.057 23
128.432 241.585 4
142.265 241.38 24
84.785 242.791 1
163.45 242.875 3
504.764 248.212 15
165.377 253.432 30
397.834 256.736 20
120.374 259.878 32
369.282 258.469 6
148.687 260.64 6
367.643 256.076 6
209.977 260.017 16
391.346 261.355 37
237.697 266.079 2
229.426 266.161 28
223.354 268.977 9
128.67 271.305 3
215.101 270.794 7
147.963 274.999 3
430.139 279.282 18
133.012 281.774 6
230.409 278.633 3
366.02 279.317 10
428.205 283.313 12
382.826 284.321 14
136.22 288.409 2
27.7136 289.148 11
311.423 288.762 14
188.724 292.785 12
306.404 291.559 9
399.621 291.114 3
194.697 295.901 1
138.35 298.428 11
152.544 299.939 9
422.828 301.951 2
