2727 10190
337.725 18.0954 1
521.271 40.9718 12
753.403 49.793 1
293.055 69.8001 1
487.787 71.6741 26
448.913 79.395 5
304.38 86.3396 3
392.319 84.6286 21
322.785 93.5698 4
330.647 98.0854 13
343.178 94.3523 32
367.082 98.1409 25
374.755 102.028 1
311.426 103.529 12
589.611 106.041 27
380.057 115.652 35
318.112 119.861 5
333.465 123.902 5
411.504 124.995 2
352.85 125.304 6
327.837 130.704 4
392.083 129.582 14
430.632 130.526 21
375.058 130.872 3
383.353 134.13 12
451.734 140.225 26
392.719 141.868 3
397.164 149.634 1
387.555 155.14 8
346.14 154.048 11
363.656 160.794 1
392.752 163.389 9
415.635 166.522 18
400.325 165.128 3
331.65 170.123 1
448.015 176.825 9
236.036 180.761 1
440.667 183.668 3
321.951 191.702 9
448.292 190.878 10
358.613 198.082 2
323.947 196.649 11
327.246 206.635 9
401.145 213.103 12
429.695 221.536 15
406.734 229.873 36
435.446 228.065 8
388.748 232.99 11
414.994 240.364 20
254.761 240.355 10
410.971 241.494 12
41.6369 243.221 24
267.795 245.442 5
283.306 253.124 11
299.76 264.207 3
217.319 267.513 14
386.226 268.917 6
233.877 274.218 2
240.028 277.361 1
322.82 278.371 7
249.515 281.736 10
256.133 286.322 2
264.338 292.05 1
266.857 294.016 1
321.877 296.578 5
271.496 297.285 6
130.372 308.813 25
142.571 306.795 15
283.156 322.635 4
202.257 331.239 28
103.073 347.393 5
93.7468 349.034 10
244.137 360.644 18
251.103 366.522 16
345.531 369.967 14
255.034 371.911 5
258.203 378.69 11
332.829 383.741 22
323.432 388.733 14
309.212 398.037 14
293.911 410.403 17
257.573 414.222 14
275.302 417.812 2
283.199 419.052 15
262.647 427.599 9
273.9 428.901 21
288.05 455.825 7
374.232 483.411 17
389.25 484.603 17
330.042 503.909 9
336.762 505.668 5
570.867 542.547 8
566.024 547.898 2
287.768 563.353 2
260.202 589.283 1
737.999 592.357 1
566.661 5.88012 1
670.183 7.24457 1
615.396 16.0157 1
543.859 18.3954 2
433.348 27.2108 4
528.549 27.3259 6
602.899 27.8263 3
416.235 28.9037 5
506.532 29.4823 15
772.076 30.1655 1
529.062 35.4508 2
526.176 45.3367 2
385.958 47.3048 4
786.875 56.0032 1
434.838 59.3105 3
211.958 61.8668 1
762.069 63.5108 8
748.818 63.8029 14
592.524 64.6122 1
553.026 68.7486 7
761.194 69.7123 8
295.988 77.8767 38
763.55 78.9579 7
486.559 81.2679 2
756.11 81.6929 10
354.199 83.053 1
642.071 85.9924 9
444.64 86.8091 3
298.342 90.0068 5
759.41 89.6508 2
355.672 92.0137 1
104.029 94.6154 1
751.547 95.418 5
400.218 95.796 2
475.775 97.6083 6
106.249 103.701 1
276.966 104.04 1
653.787 106.445 3
108.324 113.289 1
326.901 119.875 15
377.618 120.042 8
