7239 41600
241.731 4.99544 1
495.627 6.34541 2
229.441 6.76689 1
382.53 8.93335 1
736.569 8.97835 1
364.129 15.1961 2
379.589 14.9729 2
223.02 15.5767 2
369.779 15.6604 1
401.99 17.4631 1
556.974 18.7169 2
486.403 20.5534 1
676.122 21.7353 1
207.207 22.491 6
568.784 23.6613 1
730.241 23.9889 2
316.895 24.9281 1
659.21 26.7569 4
256.462 27.7899 9
292.234 27.108 3
520.068 29.1251 7
624.528 29.3203 9
418.571 29.1203 4
504.788 31.3326 2
41.1218 31.1165 7
371.601 32.849 3
197.617 34.1366 12
429.195 33.172 8
556.985 33.7145 2
315.144 32.3603 8
539.253 35.2278 1
199.061 39.6816 4
377.235 37.9357 3
478.736 39.6105 1
496.058 39.0418 8
439.138 40.3778 9
517.852 41.7311 9
625.668 43.0644 8
631.04 41.3401 10
563.343 44.9474 9
655.483 45.2301 3
456.093 46.8359 7
471.641 45.9632 19
62.1023 47.4854 6
619.745 47.4501 12
385.553 48.1756 9
189.743 51.0546 17
464.989 47.728 13
715.47 48.282 17
484.947 49.0704 7
681.303 52.6253 1
552.388 51.4703 4
62.8559 56.2996 4
285.872 55.5673 12
512.781 57.0972 17
579.444 55.4161 5
697.945 57.6305 15
733.735 56.7755 1
186.875 55.9544 3
80.0557 58.5843 3
243.259 58.4334 16
471.106 59.1277 8
506.295 58.5372 4
723.023 57.9752 5
495.372 59.5851 4
624.795 59.835 9
337.627 60.8836 19
477.855 60.8918 4
692.478 60.3767 8
315.456 59.953 19
139.08 61.5492 8
182.026 63.4589 4
674.235 62.4906 12
766.957 63.0456 5
262.317 64.7981 14
562.141 64.5069 8
588.17 65.9756 1
744.249 65.006 5
568.21 66.3961 7
663.798 67.4273 1
98.4326 66.957 7
163.576 67.2848 20
172.42 67.7828 11
533.294 66.892 15
554.5 67.4292 7
691.383 68.2032 13
396.27 68.9858 5
339.124 70.5869 5
443.978 69.9672 12
466.606 72.4655 17
618.825 70.6103 7
127.774 73.9221 1
256.692 75.4299 13
493.061 75.4158 18
255.33 77.1676 1
226.364 77.7265 5
371.929 78.0118 15
439.772 75.4626 13
377.199 81.2349 5
521.2 79.5742 17
162.702 81.4138 22
508.73 80.9426 7
674.463 80.7926 1
589.732 81.986 9
645.47 81.5874 1
148.39 85.5961 10
262.687 82.7509 1
350.461 81.8466 24
428.006 84.6991 8
634.731 84.0947 17
659.067 84.5551 4
7.4886 85.5147 1
149.384 85.6127 2
16.0228 86.8913 1
420.951 87.4799 7
763.709 85.1774 5
229.586 86.9634 5
430.691 88.9666 3
127.38 88.691 13
133.903 89.6039 2
139.634 88.1515 15
247.211 89.9114 15
60.7898 90.9251 18
479.16 89.8442 30
558.374 90.8072 6
628.202 86.2183 28
338.85 92.1031 1
467.122 91.5783 17
15.9204 93.2877 1
377.328 93.3921 2
490.786 93.1885 1
209.52 93.6657 1
415.732 94.2431 3
117.959 95.0678 38
369.171 95.5261 1
421.369 95.6462 7
542.785 91.2494 30
12.9186 97.6301 1
104.846 100.39 17
485.503 102.675 13
67.2305 102.014 22
82.5366 102.943 1
74.0836 103.022 6
61.1799 104.606 1
260.826 104.096 11
455.361 101.209 42
565.087 105.013 1
515.844 104.501 5
172.68 107.198 3
780.88 108.713 1
534.33 109.769 18
607.151 110.642 10
631.794 112.239 4
105.278 113.656 2
482.583 117.547 10
477.356 116.129 8
395.791 118.18 3
522.024 113.337 35
564.778 114.723 17
125.836 115.704 11
562.002 119.785 2
701.82 117.968 23
163.27 121.536 9
606.219 119.531 19
132.641 123.051 24
460.208 122.202 8
376.057 121.163 6
637.819 121.957 7
619.237 119.473 26
393.119 125.189 19
159.701 123.919 24
180.095 124.941 14
246.667 123.751 11
597.819 126.859 1
733.873 121.672 9
171.793 126.429 8
788.07 127.863 1
123.277 128.975 2
195.263 127.627 22
572.351 128.517 2
146.97 129.514 14
766.815 130.516 10
542.417 131.778 29
681.251 132.315 5
392.843 134.455 5
474.596 134.189 11
743.68 134.005 1
130.306 134.804 1
371.46 136.014 11
106.745 136.198 9
521.221 136.605 24
121.662 138.316 15
560.646 134.469 39
350.268 140.147 3
757.84 136.7 16
151.839 141.705 34
439.468 139.522 57
547.29 145.319 21
557.445 140.663 1
585.093 138.815 68
633.296 142.562 18
716.961 142.48 8
732.304 139.69 12
176.62 143.335 1
488.874 144.106 10
500.632 142.63 55
511.091 143.109 12
592.317 140.027 20
528.762 142.9 35
120.741 144.459 1
153.546 145.382 2
184.5 143.988 40
200.395 145.242 9
524.087 143.855 10
602.401 144.076 24
349.419 144.992 5
673.349 145.689 6
424.85 143.592 32
331.569 149.077 9
156.937 149.52 7
433.13 149.32 5
504.279 149.328 4
612.191 149.567 14
59.4929 149.957 11
631.214 149.914 37
704.649 149.714 15
710.731 151.187 1
420.945 151.487 6
495.633 150.721 12
440.225 152.208 13
449.234 151.543 7
379.912 153.009 4
415.464 156.235 16
483.267 150.307 44
14.0186 154.799 1
403.841 152.429 17
468.656 153.165 24
625.76 155.356 32
397.756 156.197 18
768.752 155.819 5
115.412 156.726 37
101.716 156.951 13
365.829 158.408 6
416.309 159.026 1
244.579 161.196 5
407.83 165.048 40
524.665 158.691 5
638.228 160.343 7
88.5104 162.984 24
400.538 162.927 3
646.222 163.654 1
698.333 161.483 7
750.607 163.893 1
40.3402 162.113 13
393.327 164.542 2
335.76 166.544 13
460.496 163.849 37
77.084 167.201 20
630.587 166.108 31
30.8661 170.26 10
394.577 170.483 3
52.074 170.96 2
457.801 170.637 3
471.078 171.081 5
668.118 167.985 69
387.973 175.109 33
33.5452 174.358 2
74.6987 174.326 5
145.612 172.709 24
192.135 172.757 11
619.814 172.065 16
639.352 173.935 2
118.937 175.209 26
162.566 174.148 17
169.707 172.883 36
682.236 172.357 25
133.655 175.008 41
365.249 171.998 11
409.319 179.131 17
777.3 175.935 3
69.2117 174.32 6
690.795 179.048 12
320.271 176.656 27
576.084 177.598 19
255.202 178.607 22
121.927 182.127 2
700.263 181.61 22
24.346 184.1 1
219.758 184.951 32
415.252 181.518 3
751.237 183.638 1
134.608 186.305 18
451.69 184.89 5
677.234 185.278 8
10.198 186.485 2
14.1346 186.237 1
51.9195 183.53 15
310.687 191.047 13
442.449 184.992 12
480.605 186.309 2
395.26 186.333 5
505.871 185.145 25
103.86 188.415 3
37.6702 188.956 11
688.255 187.164 12
473.13 189.925 13
30.379 191.348 6
405.045 192.336 1
524.863 191.377 20
9.09708 192.66 1
443.603 192.454 5
759.006 192.194 4
150.703 192.696 6
198.378 192.942 30
228.519 193.632 9
693.475 195.062 2
367.395 197.571 21
582.344 194.99 56
612.743 194.324 5
23.6758 196.828 2
569.953 192.456 22
15.8826 198.354 1
186.395 196.995 34
275.081 199.094 19
424.945 197.328 16
585.529 196.85 19
733.087 199.354 17
97.8582 199.077 6
413.689 200.606 8
478.775 201.078 21
510.994 200.67 2
625.643 200.911 5
65.3477 202.012 13
391.444 202.755 3
404.853 202.326 5
418.22 201.622 4
149.437 203.788 35
640.13 201.739 17
635.05 205.81 2
662.997 204.743 45
88.4852 206.594 15
110.971 207.276 1
132.169 204.008 10
331.844 203.61 10
522.736 207.197 6
531.986 208.648 12
370.105 208.444 23
729.173 209.012 2
281.037 209.061 19
671.395 210.32 7
365.125 210.776 1
404.338 206.826 46
93.0045 211.191 20
638.103 211.966 11
436.987 212.389 31
654.814 213.334 6
501.575 215.301 48
354.231 215.342 21
616.586 211.696 66
151.909 216.812 9
314.495 216.833 10
623.345 217.531 13
691.735 215.404 9
229.101 214.961 28
250.202 215.899 37
34.3747 220.011 3
72.1184 217.573 19
725.995 219.812 1
520.353 216.833 57
697.406 220.664 1
708.204 219.061 37
290.098 216.833 53
61.3047 224.393 8
208.45 222.288 3
493.648 221.125 16
648.65 223.755 14
131.311 229.332 17
155.647 224.849 1
617.028 225.194 18
699.866 225.886 6
530.517 228.306 3
372.116 228.202 3
327.334 229.239 31
201.628 228.65 36
262.002 231.619 1
659.855 230.575 36
674.516 234.358 18
59.8838 233.604 5
274.659 233.371 1
360.269 232.747 14
368.436 230.534 3
26.181 233.631 5
121.969 233.974 4
213.769 233.096 7
395.784 233.711 1
775.097 234.471 2
445.867 232.367 57
714.895 235.033 4
502.841 235.971 9
256.112 235.385 8
323.263 237.099 4
750.55 234.486 7
168.407 234.297 40
266.97 236.857 32
438.757 234.345 7
659.7 238.515 12
21.3671 240.096 2
118.372 239.884 13
278.673 235.038 29
385.209 239.676 4
634.208 238.064 21
704.724 241.68 3
298.158 240.592 22
378.826 240.694 1
56.7562 243.541 12
394.117 240.33 7
99.141 236.065 28
130.716 240.687 30
305.581 242.61 2
770.383 242.725 5
18.2595 243.693 1
199.347 243.243 8
650.053 244.955 17
243.822 244 12
638.777 244.9 3
218.614 247.017 19
482.94 246.133 6
660.777 246.256 1
56.6232 246.74 4
411.72 239.998 37
488.826 249.223 21
234.252 248.633 3
502.428 251.31 59
693.505 249.036 1
93.0615 249.121 9
173.92 248.391 4
565.46 248.827 10
656.615 249.92 9
332.171 246.202 52
616.988 249.935 16
96.1039 252.681 1
189.791 253.015 13
340.697 252.66 15
397.536 255.132 4
739.736 247.702 14
166.822 253.389 18
216.988 257.077 16
347.522 255.659 14
551.133 256.115 3
670.305 256.593 2
691.712 256.777 6
713.839 254.446 9
751.341 256.448 7
512.582 254.659 18
434.096 257.891 34
150.146 256.543 9
164.638 259.655 4
184.272 261.492 38
357.618 256.851 24
106.799 262.679 9
430.758 263.02 8
465.405 264.691 8
713.727 263.078 13
773.839 265.277 1
52.1039 264.917 5
206.181 272.372 13
268.004 265.266 7
115.252 267.576 3
150.534 265.457 11
229.317 269.291 16
392.792 270.743 1
599.023 268.952 12
