6972 39909
451.6 4.29848 1
531.456 5.60859 1
481.62 6.73572 1
407.282 8.84694 1
461.48 9.74911 2
679.428 10.5753 2
425.017 11.2353 1
697.106 10.9317 1
297.275 12.7327 1
419.823 12.8501 1
477.153 14.0767 1
445.291 14.9317 2
110.256 16.0525 2
458.667 15.8324 1
282.994 16.9506 1
750.664 16.6617 1
419.334 17.8697 1
433.944 18.1807 1
555.703 17.5694 1
273.436 22.0857 2
602.157 21.7352 1
531.987 23.1276 1
593.454 22.7693 1
608.164 23.1412 1
630.221 21.3467 4
416.725 24.6149 1
678.999 25.1303 1
299.789 25.7479 9
554.484 26.0088 4
159.3 28.6868 10
411.1 28.865 5
715.496 30.3947 5
452.469 30.1585 5
622.427 31.498 7
374.56 32.923 1
650.02 32.6491 3
382.82 32.1457 6
547.831 35.6348 10
357.584 35.3926 1
471.777 35.4138 11
483.049 35.9307 2
354.574 39.9806 2
549.235 38.3487 4
751.836 40.3172 2
418.607 40.5262 1
485.883 40.6537 3
539.949 40.3612 3
774.368 43.0766 2
136.537 46.3364 4
531.753 48.1282 6
400.994 47.4048 3
350.06 50.8336 14
412.993 47.7723 14
681.308 50.4616 11
751.203 54.4481 2
374.946 55.8073 7
509.098 56.5574 19
645.845 57.9246 13
239.613 58.2996 28
349.796 59.313 2
691.778 59.6203 5
249.482 57.3822 9
525.096 59.0151 3
444.116 60.005 7
232.719 60.4223 7
511.298 61.6837 1
545.25 62.8452 13
710.211 62.7272 2
454.316 61.1267 23
368.862 65.8008 7
345.015 65.0642 9
225.676 68.7362 3
497.111 67.1593 7
514.651 68.4894 1
687.042 69.535 11
686.326 70.28 2
731.749 69.6252 10
344.732 72.3564 3
411.921 71.9507 6
518.638 73.9595 5
211.112 74.0272 38
374.983 74.3824 17
449.551 76.6512 5
371.905 76.0252 3
128.778 78.0116 2
285.329 76.6559 15
550.026 73.3951 31
611.288 76.4497 8
343.348 78.7594 6
207.374 80.4112 7
277.749 82.5388 5
395.572 82.5467 3
473.815 81.6576 39
584.773 80.8517 8
595.016 80.2177 11
167.405 85.3104 1
466.567 85.5048 3
539.607 84.819 1
630.473 81.4332 9
604.35 85.5889 16
192.493 84.6308 13
565.306 84.9237 23
341.176 89.2453 3
180.088 92.0153 6
264.772 90.9084 8
684.014 90.0309 12
585.677 90.0609 8
188.878 94.0399 12
235.011 92.9163 7
262.571 92.2542 19
467.815 93.1097 7
616.704 93.2211 14
502.975 94.677 18
334.157 94.2945 18
572.067 95.596 5
163.874 97.1638 1
365.809 96.9622 2
409.833 97.0751 26
709.741 97.0207 1
339.944 97.7717 2
630.689 93.9605 15
669.295 97.2703 10
409.743 100.688 1
451.793 100.577 16
547.844 103.197 9
329.804 103.109 11
650.894 100.37 26
519.234 102.611 27
661.954 99.7754 14
447.513 105.295 4
395.849 109.759 12
190.745 110.992 3
455.702 111.75 8
499.339 107.894 33
439.303 109.349 20
461.638 108.823 12
367.651 113.855 2
624.218 110.854 36
322.745 115.008 8
641.763 111.036 50
348.277 116.652 47
387.761 115.658 19
410.158 117.38 13
433.468 115.996 32
635.649 116.516 12
12.3006 117.947 1
58.4271 114.967 16
182.4 117.546 8
230.677 117.961 2
486.37 117.928 3
462.706 118.914 2
79.4343 120.17 32
372.231 121.006 29
498.108 121.357 1
737.096 121.312 8
570.849 121.535 47
162.296 126.048 7
209.697 121.927 4
608.753 121.876 18
708.312 124.922 13
114.492 126.458 32
194.613 125.656 20
203.843 125.673 2
652.834 128.305 11
641.112 125.969 19
407.77 126.325 16
131.706 129.131 4
596.41 129.023 19
301.985 132.198 17
345.686 130.78 15
504.818 129.055 33
622.898 129.373 35
668.765 132.201 5
712.721 133.384 6
640.161 137.347 38
685.629 133.496 34
287.677 136.611 8
280.87 136.264 33
422.179 139.708 17
407.382 138.805 11
344.463 143.79 28
543.964 139.521 9
232.441 140.837 19
682.79 142.432 3
779.673 141.522 3
186.095 144.127 2
209.307 142.812 6
266.997 143.905 16
616.935 142.136 28
642.26 144.649 4
694.047 144.824 20
723.099 144.898 11
434.194 146.616 2
292.368 148.079 2
349.543 147.51 1
300.458 148.822 5
315.562 148.823 2
345.152 148.72 9
571.339 150.807 6
492.216 152.293 1
526.825 152.488 18
604.555 151.273 37
177.405 151.386 8
462.6 152.102 19
323.638 149.904 22
545.938 155.284 3
108.658 155.58 10
557.349 156.207 26
488.078 156.543 2
293.309 154.32 16
353.872 158.179 1
411.51 156.599 51
751.204 158.088 1
246.978 155.944 24
433.911 159.578 3
471.325 155.16 13
483.027 158.551 8
714.455 160.176 1
267.106 160.243 13
536.655 160.068 14
643.393 160.656 18
684.41 158.583 35
577.331 163.354 25
588.551 162.592 20
595.551 161.35 18
599.396 163.053 8
626.408 160.562 3
730 162.874 1
342.629 164.003 18
525.333 163.643 2
96.2419 165.104 3
440.005 164.894 2
741.589 163.611 13
695.818 167.299 24
259.504 166.255 35
612.77 163.863 47
551.128 165.638 27
433.567 170.276 1
692.225 170.284 1
194.822 170.847 1
443.775 169.994 6
465.944 173.241 13
526.462 171.988 4
543.554 172.54 31
722.199 173.757 42
592.764 172.571 20
734.773 175.712 4
425.044 177.339 17
448.673 174.748 48
541.321 175.898 2
286.787 177.781 7
530.79 179.31 23
557.358 178.701 43
328.022 180.066 2
566.826 178.61 14
467.144 179.077 6
681.595 178.121 6
688.299 181.433 2
422.897 181.458 5
675.545 182.782 4
350.008 184.388 30
556.051 184.366 11
448.489 185.023 4
259.892 184.822 27
354.76 186.251 7
477.687 186.992 20
489.805 187.207 12
526.788 187.8 3
311.919 188.893 12
138.155 186.931 44
237.181 189.275 32
