3678 17096
284.893 79.7326 15
247.723 77.7817 26
243.419 95.166 12
600.957 109.26 1
279.187 110.75 20
579.247 111.04 3
592.453 110.157 5
236.012 116.928 21
358.33 121.567 2
340.049 122.751 1
273.176 126.929 16
25.5703 127.284 7
231.8 132.306 21
68.808 131.916 1
271.971 133.051 5
425.911 132.605 10
412.828 132.056 34
611.113 134.246 1
406.293 135.944 5
491.877 138.543 39
508.604 134.281 21
577.479 134.27 13
558.485 134.08 24
561.915 135.437 3
595.464 135.881 4
544.913 135.966 26
575.424 136.539 1
512.126 137.859 1
539.333 137.669 6
79.71 140.845 24
597.248 139.479 2
438.933 136.286 13
406.643 143.147 1
426.633 142.426 8
322.026 143.052 7
349.396 142.607 5
343.141 141.783 24
388.374 145.174 20
484.799 146.105 8
402.534 145.589 5
496.726 146.623 6
510.677 149.449 14
105.702 146.977 5
228.015 147.145 25
22.0119 148.645 5
175.689 149.272 14
430.606 145.459 9
476.129 148.45 8
98.5192 146.366 54
538.207 149.957 6
364.261 151.474 4
166.911 151.242 62
186.34 153.136 7
426.28 154.382 7
461.024 153.179 36
9.66863 155.234 3
140.701 151.867 10
313.793 155.046 2
62.6114 154.796 28
132.493 154.42 49
150.668 156.105 2
209.962 152.814 34
415.242 155.268 35
226.517 155.076 15
371.418 156.308 17
437.752 155.311 51
297.638 157.338 6
397.618 157.659 16
449.653 156.062 19
490.795 158.708 1
30.8499 160.986 2
390.041 164.961 4
348.635 170.072 13
360.393 174.623 27
259.314 180.065 9
422.47 181.414 15
399.843 183.298 13
407.569 182.05 18
218.21 184.784 16
360.314 187.13 35
219.972 185.009 10
163.506 197.037 1
299.804 196.449 33
359.922 199.958 16
488.818 197.226 29
269.038 198.793 40
253.784 204.12 12
311.376 202.294 14
201.65 208.077 12
320.976 203.642 33
278.559 205.548 30
253.088 210.415 2
391.803 209.702 6
587.606 211.484 2
201.379 212.7 4
147.727 214.093 10
178.784 214.316 13
393.069 217.571 22
475.852 211.899 48
135.303 214.749 8
168.321 216.399 3
372.228 216.189 1
34.2194 216.864 4
96.6974 216.378 25
116.704 216.36 15
70.4572 217.966 27
83.6073 217.176 8
40.0706 218.508 9
5.11156 220.754 1
293.778 222.03 4
281.327 221.46 4
77.0369 222.841 1
199.346 223.701 6
289.13 224.387 17
251.813 225.35 6
352.381 228.89 2
194.018 230.022 5
57.1717 231.377 25
200.365 230.494 6
386.075 232.652 5
96.9567 232.665 18
121.386 231.714 6
261.507 233.734 12
291.94 238.193 22
257.068 239.658 7
381.279 240.447 7
414.53 238.675 5
197.754 243.433 5
615.66 242.502 1
311.227 245.353 33
343.92 245.568 9
195.703 246.359 22
333.773 248.003 2
323.348 249.512 26
326.236 250.658 1
234.455 253.421 11
341.147 253.816 8
372.567 254.989 4
150.874 256.937 4
136.742 257.931 20
218.513 259.572 19
199.097 265.039 12
209.106 262.297 34
138.977 270.362 35
253.203 266.416 5
341.365 265.28 20
368.657 268.367 18
321.587 269.223 13
238.045 272.138 7
575.9 272.885 3
139.981 274 4
203.92 276.384 9
309.304 279.001 21
382.054 282.952 1
193.636 285.614 22
213.075 282.536 25
384.679 286.91 2
387.42 293.01 2
389.319 300.125 6
82.0404 300.704 6
316.354 297.552 21
187.476 304.836 6
279.079 304.341 48
28.3088 308.488 2
34.6747 307.297 9
391.993 306.863 18
48.179 307.054 7
293.249 308.663 8
52.515 308.466 7
224.507 310.013 6
184.819 312.5 7
263.393 310.728 5
88.0577 309.333 9
214.288 315.026 3
340.674 312.757 18
250.11 316.097 21
409.125 316.996 23
35.7767 317.705 1
350.461 314.744 21
234.902 323.389 19
385.908 322.285 20
349.068 325.879 3
420.546 323.837 18
180.407 326.2 17
228.036 327.517 7
334.138 326.806 13
248.352 329.642 4
257.666 326.23 30
317.694 330.202 4
371.091 329.875 5
204.596 331.288 7
284.079 333.213 9
417.326 333.952 9
40.508 336.371 2
199.135 335.857 30
482.966 337.296 5
72.9054 337.904 3
172.29 339.247 11
157.808 340.476 5
79.2514 341.443 6
67.1534 343.865 20
63.819 347.262 1
391.335 345.984 37
78.705 347.812 14
357.439 353.113 8
272.484 353.812 17
61.2278 356.146 1
370.986 353.312 47
238.917 356.652 8
46.3228 355.816 27
79.4931 357.531 8
590.43 357.942 9
572.895 360.34 11
558.884 361.307 19
548.847 363.128 14
152.801 367.058 27
517.719 370.588 14
426.248 372.2 1
89.6173 372.803 5
51.3204 372.308 10
489.408 377.353 15
566.323 376.543 14
526.162 378.02 1
533.327 379.53 9
543.858 378.152 6
551.357 378.095 4
372.831 378.518 1
483.959 378.786 10
75.7689 379.926 26
393.523 381.217 11
450.076 379.895 20
152.74 380.913 32
438.511 380.448 24
70.3331 385.37 5
140.942 385.801 1
395.842 385.669 2
355.798 387.225 6
26.0023 388.342 8
56.387 391.273 19
